league,banned_champion,ban_count
AL,Gwen,113
AL,Rumble,108
AL,Fiora,96
AL,Skarner,91
AL,Ivern,90
AL,Vi,81
AL,Varus,79
AL,Taliyah,78
AL,Pantheon,72
AL,Ambessa,69
AL,Aurora,64
AL,Jayce,58
AL,Corki,57
AL,Alistar,52
AL,Braum,50
AL,K'Sante,50
AL,Yone,50
AL,Rell,49
AL,Ezreal,48
AL,Xin Zhao,48
AL,Viktor,45
AL,Kalista,44
AL,Akali,43
AL,Orianna,41
AL,Ahri,37
AL,Naafiri,36
AL,Poppy,36
AL,Sejuani,35
AL,Azir,34
AL,Kai'Sa,34
AL,Mel,34
AL,Maokai,32
AL,Sion,31
AL,Nautilus,30
AL,Nocturne,27
AL,Yorick,27
AL,Jarvan IV,26
AL,Neeko,26
AL,Zyra,26
AL,Wukong,25
AL,Sylas,24
AL,Leona,23
AL,Lillia,23
AL,Rakan,22
AL,Renekton,22
AL,Annie,21
AL,Caitlyn,20
AL,LeBlanc,19
AL,Aatrox,18
AL,Nunu & Willump,17
AL,Ryze,17
AL,Renata Glasc,16
AL,Syndra,16
AL,Gnar,15
AL,Viego,14
AL,Xayah,14
AL,Galio,13
AL,Jhin,13
AL,Sivir,13
AL,Tristana,13
AL,Camille,12
AL,Jax,12
AL,Ornn,12
AL,Trundle,12
AL,Elise,11
AL,Miss Fortune,11
AL,Lulu,10
AL,Draven,9
AL,Jinx,9
AL,Olaf,9
AL,Hwei,8
AL,Udyr,8
AL,Yasuo,8
AL,Cho'Gath,7
AL,Lucian,7
AL,Ashe,6
AL,Gragas,6
AL,Karma,6
AL,Karthus,4
AL,Malphite,4
AL,Thresh,3
AL,Zeri,3
AL,Zoe,3
AL,Aphelios,2
AL,Bard,2
AL,Blitzcrank,2
AL,Brand,2
AL,Irelia,2
AL,Janna,2
AL,Kindred,2
AL,Nami,2
AL,Senna,2
AL,Tryndamere,2
AL,Volibear,2
AL,Zed,2
AL,Amumu,1
AL,Dr. Mundo,1
AL,Kennen,1
AL,Mordekaiser,1
AL,Nidalee,1
AL,Seraphine,1
AL,Shaco,1
AL,Swain,1
AL,Tahm Kench,1
AL,Taric,1
AL,Twitch,1
AL,Vex,1
AL,Ziggs,1
Asia Master,Pantheon,100
Asia Master,Gwen,64
Asia Master,Vi,59
Asia Master,Varus,54
Asia Master,Poppy,49
Asia Master,Ezreal,42
Asia Master,Lucian,36
Asia Master,Taliyah,34
Asia Master,Kalista,33
Asia Master,Neeko,33
Asia Master,Annie,32
Asia Master,Twisted Fate,30
Asia Master,Ryze,28
Asia Master,Azir,27
Asia Master,Nautilus,27
Asia Master,Rumble,27
Asia Master,Xayah,26
Asia Master,Trundle,25
Asia Master,Alistar,22
Asia Master,Rakan,22
Asia Master,Jayce,20
Asia Master,Xin Zhao,19
Asia Master,Ahri,17
Asia Master,Braum,17
Asia Master,Ambessa,15
Asia Master,Lee Sin,15
Asia Master,Aurora,14
Asia Master,Jhin,14
Asia Master,Viego,14
Asia Master,Kai'Sa,13
Asia Master,Jax,12
Asia Master,Sejuani,11
Asia Master,Senna,11
Asia Master,Sion,11
Asia Master,Renata Glasc,9
Asia Master,Miss Fortune,8
Asia Master,Wukong,8
Asia Master,Corki,7
Asia Master,Elise,7
Asia Master,Galio,7
Asia Master,Leona,7
Asia Master,Sivir,7
Asia Master,Yone,7
Asia Master,Aatrox,6
Asia Master,Karma,6
Asia Master,Nocturne,6
Asia Master,Orianna,6
Asia Master,Rell,6
Asia Master,Sylas,6
Asia Master,Rengar,5
Asia Master,Zoe,5
Asia Master,Skarner,4
Asia Master,Viktor,4
Asia Master,Fiora,3
Asia Master,LeBlanc,3
Asia Master,Nidalee,3
Asia Master,Ornn,3
Asia Master,Akali,2
Asia Master,Caitlyn,2
Asia Master,Draven,2
Asia Master,Gnar,2
Asia Master,Naafiri,2
Asia Master,Nami,2
Asia Master,Renekton,2
Asia Master,Smolder,2
Asia Master,Ziggs,2
Asia Master,Aphelios,1
Asia Master,Ashe,1
Asia Master,Irelia,1
Asia Master,K'Sante,1
Asia Master,Kayn,1
Asia Master,Lillia,1
Asia Master,Lulu,1
Asia Master,Maokai,1
Asia Master,Milio,1
Asia Master,Taric,1
Asia Master,Tristana,1
Asia Master,Twitch,1
Asia Master,Yorick,1
Asia Master,Zyra,1
CD,Varus,117
CD,Gwen,97
CD,Kalista,96
CD,Jayce,83
CD,Sejuani,75
CD,Neeko,62
CD,Skarner,59
CD,Aurora,56
CD,Azir,56
CD,Xin Zhao,56
CD,Yone,56
CD,Pantheon,51
CD,Vi,49
CD,Orianna,48
CD,Braum,47
CD,Naafiri,47
CD,Maokai,46
CD,Nocturne,43
CD,Rumble,42
CD,Ezreal,41
CD,Nautilus,41
CD,Taliyah,41
CD,Lucian,38
CD,Ambessa,37
CD,Ahri,36
CD,Alistar,34
CD,Pyke,34
CD,Leona,32
CD,Ashe,31
CD,Wukong,31
CD,Miss Fortune,29
CD,Poppy,29
CD,Rell,29
CD,Sylas,29
CD,Akali,26
CD,Yorick,26
CD,Corki,25
CD,Jax,25
CD,Annie,22
CD,Ivern,22
CD,Senna,21
CD,Vladimir,21
CD,Jhin,20
CD,Kai'Sa,20
CD,Rakan,20
CD,Renekton,19
CD,Karma,18
CD,Ryze,18
CD,Viktor,17
CD,Xayah,16
CD,Gnar,14
CD,Sion,14
CD,Zyra,14
CD,K'Sante,12
CD,Sivir,12
CD,Aatrox,11
CD,Zoe,11
CD,Galio,10
CD,Lillia,10
CD,Swain,10
CD,Trundle,10
CD,Nidalee,9
CD,Olaf,9
CD,Caitlyn,8
CD,Fiora,8
CD,Renata Glasc,8
CD,Darius,7
CD,Irelia,5
CD,Ornn,5
CD,Rengar,5
CD,Bard,4
CD,Camille,4
CD,Draven,4
CD,Hwei,4
CD,Jarvan IV,4
CD,LeBlanc,4
CD,Yunara,4
CD,Jinx,3
CD,Kog'Maw,3
CD,Lulu,3
CD,Smolder,3
CD,Syndra,3
CD,Tristana,3
CD,Yasuo,3
CD,Zed,3
CD,Zeri,3
CD,Akshan,2
CD,Evelynn,2
CD,Nilah,2
CD,Tahm Kench,2
CD,Taric,2
CD,Viego,2
CD,Ziggs,2
CD,Aphelios,1
CD,Brand,1
CD,Cassiopeia,1
CD,Cho'Gath,1
CD,Dr. Mundo,1
CD,Elise,1
CD,Gragas,1
CD,Karthus,1
CD,Kindred,1
CD,Mel,1
CD,Nami,1
CD,Samira,1
CD,Seraphine,1
CD,Twisted Fate,1
CT,Taliyah,37
CT,Pantheon,30
CT,Naafiri,23
CT,Kindred,22
CT,Rumble,22
CT,Rell,17
CT,Vi,16
CT,Gwen,14
CT,Jayce,13
CT,Xin Zhao,13
CT,Zoe,13
CT,Ambessa,12
CT,Hwei,11
CT,Nautilus,10
CT,Yone,10
CT,Ivern,9
CT,Renekton,9
CT,Tristana,9
CT,Mel,8
CT,Orianna,8
CT,Skarner,8
CT,Varus,8
CT,Corki,7
CT,Leona,7
CT,Alistar,6
CT,Braum,6
CT,Gragas,6
CT,Jarvan IV,6
CT,Olaf,6
CT,Sejuani,6
CT,Sylas,6
CT,Wukong,6
CT,Fiora,5
CT,Poppy,5
CT,Senna,5
CT,Syndra,5
CT,Viego,5
CT,Akali,4
CT,Irelia,4
CT,LeBlanc,4
CT,Miss Fortune,4
CT,Aurora,3
CT,Azir,3
CT,Lux,3
CT,Ornn,3
CT,Trundle,3
CT,Viktor,3
CT,Ahri,2
CT,Ashe,2
CT,Bard,2
CT,Bel'Veth,2
CT,Caitlyn,2
CT,Camille,2
CT,Dr. Mundo,2
CT,Ezreal,2
CT,Gnar,2
CT,K'Sante,2
CT,Kai'Sa,2
CT,Lillia,2
CT,Neeko,2
CT,Nocturne,2
CT,Rek'Sai,2
CT,Shen,2
CT,Twitch,2
CT,Vayne,2
CT,Yorick,2
CT,Aatrox,1
CT,Amumu,1
CT,Jax,1
CT,Jhin,1
CT,Jinx,1
CT,Karma,1
CT,Kennen,1
CT,Milio,1
CT,Nidalee,1
CT,Qiyana,1
CT,Rakan,1
CT,Ryze,1
CT,Sett,1
CT,Sivir,1
CT,Smolder,1
CT,Taric,1
CT,Xayah,1
CT,Yasuo,1
CT,Ziggs,1
EBL,Rumble,65
EBL,Vi,56
EBL,Gwen,55
EBL,Varus,49
EBL,Aurora,47
EBL,Azir,45
EBL,Orianna,45
EBL,Corki,42
EBL,Jayce,41
EBL,Nautilus,39
EBL,K'Sante,38
EBL,Braum,37
EBL,Skarner,37
EBL,Viego,33
EBL,Ambessa,32
EBL,Nocturne,32
EBL,Poppy,32
EBL,Pantheon,31
EBL,Leona,30
EBL,Taliyah,30
EBL,Maokai,29
EBL,Galio,28
EBL,Rell,28
EBL,Kalista,25
EBL,Naafiri,25
EBL,Syndra,22
EBL,Mel,21
EBL,Zac,21
EBL,Ahri,18
EBL,Kindred,17
EBL,Urgot,17
EBL,Xin Zhao,17
EBL,Alistar,15
EBL,Gnar,15
EBL,LeBlanc,15
EBL,Renekton,15
EBL,Zyra,15
EBL,Jarvan IV,14
EBL,Jax,14
EBL,Xayah,14
EBL,Olaf,13
EBL,Ezreal,12
EBL,Fiora,12
EBL,Ornn,12
EBL,Trundle,12
EBL,Annie,11
EBL,Sylas,11
EBL,Bel'Veth,10
EBL,Hwei,10
EBL,Jinx,10
EBL,Wukong,10
EBL,Yone,10
EBL,Jhin,9
EBL,Darius,8
EBL,Ivern,8
EBL,Kai'Sa,8
EBL,Miss Fortune,8
EBL,Rakan,8
EBL,Yorick,8
EBL,Aatrox,7
EBL,Neeko,7
EBL,Sejuani,7
EBL,Sett,7
EBL,Viktor,7
EBL,Ashe,6
EBL,Renata Glasc,6
EBL,Sion,6
EBL,Tristana,6
EBL,Akali,5
EBL,Elise,5
EBL,Lucian,5
EBL,Lulu,5
EBL,Nidalee,5
EBL,Ryze,5
EBL,Shen,5
EBL,Sivir,5
EBL,Zeri,5
EBL,Bard,4
EBL,Kennen,4
EBL,Seraphine,4
EBL,Yunara,4
EBL,Camille,3
EBL,Lillia,3
EBL,Vladimir,3
EBL,Aphelios,2
EBL,Aurelion Sol,2
EBL,Blitzcrank,2
EBL,Caitlyn,2
EBL,Cho'Gath,2
EBL,Dr. Mundo,2
EBL,Gragas,2
EBL,Hecarim,2
EBL,Irelia,2
EBL,Nami,2
EBL,Yasuo,2
EBL,Zoe,2
EBL,Anivia,1
EBL,Cassiopeia,1
EBL,Karma,1
EBL,Lee Sin,1
EBL,Milio,1
EBL,Mordekaiser,1
EBL,Senna,1
EBL,Smolder,1
EBL,Zed,1
EM,Vi,103
EM,Varus,97
EM,Rumble,93
EM,Pantheon,72
EM,Azir,65
EM,Yone,62
EM,Jayce,61
EM,Sion,57
EM,Gwen,56
EM,Poppy,55
EM,Maokai,54
EM,Taliyah,50
EM,Braum,48
EM,Ezreal,48
EM,Naafiri,45
EM,Ahri,44
EM,Kalista,42
EM,Rell,40
EM,Ambessa,38
EM,Nautilus,38
EM,Orianna,38
EM,Sejuani,37
EM,Alistar,33
EM,Ivern,33
EM,Nocturne,33
EM,Miss Fortune,32
EM,Akali,29
EM,Leona,28
EM,Gnar,27
EM,Lucian,27
EM,Rakan,27
EM,Skarner,27
EM,Xin Zhao,26
EM,Zyra,26
EM,Gragas,24
EM,Jax,24
EM,Syndra,24
EM,Renekton,22
EM,Jhin,20
EM,Senna,19
EM,Neeko,18
EM,Caitlyn,17
EM,Ornn,17
EM,Viego,17
EM,Viktor,17
EM,Corki,16
EM,Jarvan IV,16
EM,Kai'Sa,16
EM,Draven,15
EM,Fiora,14
EM,Aatrox,13
EM,Galio,13
EM,Wukong,13
EM,Yorick,13
EM,Xayah,12
EM,K'Sante,11
EM,Karma,11
EM,Sylas,11
EM,Tristana,11
EM,Aurora,10
EM,Darius,9
EM,Hwei,9
EM,Ryze,9
EM,Shen,9
EM,Akshan,8
EM,Bel'Veth,8
EM,Lillia,8
EM,Mel,8
EM,Renata Glasc,8
EM,Zeri,8
EM,Jinx,7
EM,Lulu,7
EM,Trundle,7
EM,Ashe,6
EM,Camille,6
EM,Nidalee,6
EM,Blitzcrank,5
EM,Irelia,5
EM,Kennen,4
EM,Olaf,4
EM,Volibear,4
EM,Warwick,4
EM,Zed,4
EM,Ziggs,4
EM,Annie,3
EM,Cassiopeia,3
EM,Dr. Mundo,3
EM,Garen,3
EM,LeBlanc,3
EM,Lux,3
EM,Pyke,3
EM,Quinn,3
EM,Sivir,3
EM,Smolder,3
EM,Bard,2
EM,Cho'Gath,2
EM,Janna,2
EM,Kayn,2
EM,Kha'Zix,2
EM,Nami,2
EM,Yasuo,2
EM,Zilean,2
EM,Aphelios,1
EM,Elise,1
EM,Gangplank,1
EM,Karthus,1
EM,Kindred,1
EM,Lee Sin,1
EM,Lissandra,1
EM,Malphite,1
EM,Milio,1
EM,Nilah,1
EM,Samira,1
EM,Seraphine,1
EM,Sett,1
EM,Twisted Fate,1
EM,Yuumi,1
EM,Zoe,1
EWC,Pantheon,24
EWC,Varus,22
EWC,Neeko,15
EWC,Poppy,15
EWC,Vi,15
EWC,Orianna,14
EWC,Gwen,13
EWC,Taliyah,12
EWC,Rumble,10
EWC,Yone,10
EWC,Annie,9
EWC,Lucian,9
EWC,Braum,8
EWC,Alistar,7
EWC,Azir,7
EWC,Kai'Sa,7
EWC,Karma,7
EWC,Ryze,7
EWC,Xayah,7
EWC,Jhin,6
EWC,Senna,6
EWC,Yorick,6
EWC,Aurora,5
EWC,Jarvan IV,5
EWC,Wukong,5
EWC,Jayce,4
EWC,Ornn,4
EWC,Rakan,4
EWC,Skarner,4
EWC,Ambessa,3
EWC,Bard,3
EWC,Ezreal,3
EWC,Jax,3
EWC,Nocturne,3
EWC,Renata Glasc,3
EWC,Sion,3
EWC,Sivir,3
EWC,Viktor,3
EWC,Aatrox,2
EWC,Ahri,2
EWC,Caitlyn,2
EWC,Corki,2
EWC,Galio,2
EWC,Lee Sin,2
EWC,Maokai,2
EWC,Miss Fortune,2
EWC,Nautilus,2
EWC,Rell,2
EWC,Smolder,2
EWC,Xin Zhao,2
EWC,Ziggs,2
EWC,Akali,1
EWC,Camille,1
EWC,Cho'Gath,1
EWC,Gragas,1
EWC,Kalista,1
EWC,Kassadin,1
EWC,Leona,1
EWC,Olaf,1
EWC,Sejuani,1
EWC,Tahm Kench,1
FST,Kalista,25
FST,Poppy,19
FST,Skarner,19
FST,Yone,17
FST,Zyra,13
FST,Rumble,12
FST,Ambessa,11
FST,Braum,11
FST,Nidalee,11
FST,Varus,11
FST,Maokai,10
FST,Vi,10
FST,Viktor,10
FST,Taliyah,9
FST,Azir,8
FST,Gnar,8
FST,Jayce,8
FST,Sejuani,8
FST,Draven,7
FST,Ziggs,7
FST,Miss Fortune,6
FST,Akali,5
FST,Corki,5
FST,K'Sante,5
FST,Lillia,5
FST,Nautilus,5
FST,Sylas,5
FST,Ahri,4
FST,Ashe,4
FST,Jhin,4
FST,Leona,4
FST,Rakan,4
FST,Rell,4
FST,Renata Glasc,4
FST,Jax,3
FST,Kai'Sa,3
FST,Karma,3
FST,Lulu,3
FST,Tristana,3
FST,Alistar,2
FST,Caitlyn,2
FST,Ezreal,2
FST,Galio,2
FST,Gragas,2
FST,Gwen,2
FST,Nocturne,2
FST,Pyke,2
FST,Seraphine,2
FST,Aurora,1
FST,Camille,1
FST,Cassiopeia,1
FST,Gangplank,1
FST,Hwei,1
FST,Ivern,1
FST,Kennen,1
FST,Lucian,1
FST,Neeko,1
FST,Orianna,1
FST,Ornn,1
FST,Pantheon,1
FST,Renekton,1
FST,Ryze,1
FST,Viego,1
FST,Wukong,1
FST,Xayah,1
FST,Xin Zhao,1
FST,Zac,1
HC,Ambessa,72
HC,Pantheon,70
HC,Varus,59
HC,Gwen,49
HC,Jarvan IV,46
HC,Syndra,45
HC,Vi,44
HC,Azir,41
HC,Orianna,34
HC,Jayce,32
HC,Renekton,31
HC,Xin Zhao,31
HC,Ivern,30
HC,Maokai,30
HC,Taliyah,30
HC,Naafiri,29
HC,Yone,29
HC,Poppy,28
HC,Nautilus,27
HC,Aurora,26
HC,Sylas,26
HC,Ahri,25
HC,Rell,25
HC,Corki,24
HC,Rumble,24
HC,Braum,23
HC,Alistar,21
HC,Amumu,20
HC,Leona,18
HC,Kindred,17
HC,Master Yi,16
HC,Xerath,16
HC,Jinx,15
HC,Tristana,15
HC,Jax,14
HC,Kalista,14
HC,Karma,14
HC,Vladimir,14
HC,Zac,14
HC,Ezreal,12
HC,Gragas,12
HC,Olaf,12
HC,Ornn,12
HC,Rakan,12
HC,Neeko,11
HC,Sejuani,11
HC,Ziggs,11
HC,Lulu,10
HC,Mel,10
HC,Trundle,10
HC,Viego,10
HC,Camille,9
HC,Jhin,9
HC,Nocturne,9
HC,Viktor,9
HC,Hwei,8
HC,Irelia,8
HC,LeBlanc,8
HC,Akali,7
HC,Kai'Sa,7
HC,Zyra,7
HC,Ashe,6
HC,Bard,6
HC,Gnar,6
HC,Hecarim,6
HC,Mordekaiser,6
HC,Rek'Sai,6
HC,Sion,6
HC,Skarner,6
HC,Talon,6
HC,Wukong,6
HC,Xayah,6
HC,Zed,6
HC,K'Sante,5
HC,Lucian,5
HC,Miss Fortune,5
HC,Sivir,5
HC,Smolder,5
HC,Aatrox,4
HC,Dr. Mundo,4
HC,Karthus,4
HC,Lillia,4
HC,Annie,3
HC,Draven,3
HC,Galio,3
HC,Milio,3
HC,Morgana,3
HC,Nami,3
HC,Nidalee,3
HC,Pyke,3
HC,Sona,3
HC,Zeri,3
HC,Bel'Veth,2
HC,Blitzcrank,2
HC,Diana,2
HC,Fizz,2
HC,Janna,2
HC,Kayle,2
HC,Kog'Maw,2
HC,Malphite,2
HC,Renata Glasc,2
HC,Seraphine,2
HC,Swain,2
HC,Thresh,2
HC,Volibear,2
HC,Yorick,2
HC,Yunara,2
HC,Anivia,1
HC,Caitlyn,1
HC,Darius,1
HC,Garen,1
HC,Lux,1
HC,Rammus,1
HC,Senna,1
HC,Shen,1
HC,Tryndamere,1
HC,Twisted Fate,1
HC,Twitch,1
HC,Yasuo,1
HC,Yuumi,1
HLL,Rumble,79
HLL,Pantheon,69
HLL,Jayce,63
HLL,Varus,59
HLL,Ambessa,58
HLL,Gwen,57
HLL,Braum,53
HLL,Skarner,53
HLL,Corki,52
HLL,Azir,50
HLL,Ezreal,47
HLL,Rell,47
HLL,Vi,45
HLL,Orianna,42
HLL,Viego,38
HLL,Maokai,37
HLL,Syndra,36
HLL,Taliyah,35
HLL,Wukong,34
HLL,Aurora,33
HLL,Naafiri,31
HLL,K'Sante,30
HLL,Miss Fortune,30
HLL,Neeko,28
HLL,Alistar,27
HLL,Yone,27
HLL,Nautilus,26
HLL,Xin Zhao,26
HLL,Viktor,25
HLL,Ivern,24
HLL,Leona,24
HLL,Sylas,24
HLL,Zyra,24
HLL,Nocturne,22
HLL,Renekton,22
HLL,Poppy,21
HLL,Hwei,20
HLL,Ahri,19
HLL,Cassiopeia,17
HLL,Kai'Sa,17
HLL,Jax,16
HLL,Karthus,16
HLL,Olaf,16
HLL,Rakan,16
HLL,Akali,15
HLL,Gnar,15
HLL,Riven,15
HLL,Annie,14
HLL,Tristana,14
HLL,Caitlyn,13
HLL,Kalista,13
HLL,Jarvan IV,12
HLL,Mel,12
HLL,Yorick,12
HLL,Galio,11
HLL,Sejuani,11
HLL,Camille,10
HLL,Zed,10
HLL,Bel'Veth,9
HLL,Lulu,9
HLL,Renata Glasc,9
HLL,Trundle,9
HLL,Blitzcrank,8
HLL,Draven,8
HLL,Fiora,8
HLL,Jhin,8
HLL,Ornn,8
HLL,Sion,8
HLL,Xayah,8
HLL,Ziggs,8
HLL,Karma,7
HLL,Yasuo,7
HLL,Sivir,6
HLL,Darius,5
HLL,Dr. Mundo,5
HLL,Jinx,5
HLL,Lucian,5
HLL,Smolder,5
HLL,Aatrox,4
HLL,Aphelios,4
HLL,Aurelion Sol,4
HLL,Irelia,4
HLL,LeBlanc,4
HLL,Lillia,4
HLL,Seraphine,4
HLL,Shen,4
HLL,Swain,4
HLL,Kennen,3
HLL,Kog'Maw,3
HLL,Lux,3
HLL,Milio,3
HLL,Ryze,3
HLL,Thresh,3
HLL,Twitch,3
HLL,Cho'Gath,2
HLL,Ekko,2
HLL,Elise,2
HLL,Gragas,2
HLL,Nidalee,2
HLL,Pyke,2
HLL,Ashe,1
HLL,Diana,1
HLL,Fiddlesticks,1
HLL,Garen,1
HLL,Kassadin,1
HLL,Kindred,1
HLL,Malphite,1
HLL,Tryndamere,1
HLL,Vayne,1
HLL,Zeri,1
HLL,Zoe,1
HM,Gwen,75
HM,Pantheon,62
HM,Varus,57
HM,Azir,54
HM,Rumble,50
HM,Ivern,49
HM,Yone,48
HM,Poppy,45
HM,Jayce,40
HM,Orianna,39
HM,Vi,38
HM,Naafiri,37
HM,Akali,35
HM,Ambessa,35
HM,Maokai,35
HM,Taliyah,35
HM,Braum,34
HM,K'Sante,34
HM,Zyra,28
HM,Nautilus,27
HM,Sejuani,27
HM,Alistar,25
HM,Aurora,25
HM,Trundle,25
HM,Ezreal,23
HM,Corki,22
HM,Rakan,21
HM,Rell,21
HM,Yorick,21
HM,Jax,19
HM,Udyr,19
HM,Viego,19
HM,Syndra,18
HM,Jarvan IV,17
HM,Renekton,17
HM,Wukong,17
HM,Kai'Sa,16
HM,Neeko,16
HM,Nocturne,16
HM,Tristana,14
HM,Xin Zhao,14
HM,Sion,13
HM,Xayah,13
HM,Aatrox,12
HM,Ahri,12
HM,Jhin,12
HM,Leona,12
HM,Sylas,12
HM,Fiora,11
HM,Lillia,11
HM,Lulu,11
HM,Miss Fortune,11
HM,Sivir,11
HM,Skarner,11
HM,Ziggs,11
HM,Gnar,10
HM,Hwei,9
HM,Lee Sin,9
HM,Zed,9
HM,Bard,8
HM,Camille,8
HM,Gangplank,8
HM,Ornn,8
HM,Viktor,8
HM,Annie,6
HM,Karthus,6
HM,Lucian,6
HM,Ryze,6
HM,Ashe,5
HM,Irelia,5
HM,Jinx,5
HM,Kalista,4
HM,Karma,4
HM,Sett,4
HM,Smolder,4
HM,Yasuo,4
HM,Zeri,4
