,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,damagetotowers,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
count,93924,93924,8064,93924,93924.0,84084,93924.0,93924,93924.0,93924.0,93924.0,93924,93924,78262,75970,93924,89676,78270,93696,93786,93726,93396,93366,15606,15606,15606,15606,15605,93924.0,93924.0,93924.0,93924.0,93924.0,93924.0,93924.0,85860.0,85860.0,85860.0,85860.0,87204.0,78270.0,71550.0,71550.0,93924.0,93924.0,15654.0,15654.0,15654.0,14310.0,14310.0,14310.0,14310.0,14310.0,14310.0,14310.0,14310.0,1344.0,14310.0,14310.0,14310.0,15654.0,15654.0,15654.0,15654.0,14310.0,87204.0,87204.0,14258.0,14258.0,15654.0,15654.0,15654.0,14310.0,14310.0,14310.0,14310.0,87204.0,87204.0,93924.0,93924.0,78270.0,93924.0,85860.0,85860.0,93924.0,93924.0,93924.0,93924.0,93924.0,93924.0,93924.0,93924.0,93924.0,93924.0,78270.0,93924.0,15654.0,14310.0,78270.0,92580.0,93924.0,8064.0,8064.0,92580.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85860.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,85764.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0,82404.0
unique,7827,2,272,40,,17,,7818,,,,2,6,2785,2423,419,356,171,153,145,150,159,161,134,152,163,164,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LOLTMNT03_179647,complete,https://lpl.qq.com/es/stats.shtml?bmid=11769,LPL,,Spring,,2025-04-17 20:06:49,,,,Blue,top,Shanks,oe:player:d24f38ec30ce6f7577066f80e43e4bf,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Rell,Vi,Varus,Varus,Braum,Alistar,Varus,Xin Zhao,Ambessa,Rell,Alistar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,12,85860,60,8064,,19080,,24,,,,46962,15654,199,144,864,864,2468,6174,6138,6330,4134,3822,1309,963,589,716,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,,2025.0010221029768,,0.18193432988373578,,1.7555896256547847,15.082408330139263,29.583333333333332,,,,,,,,,,,,,,,,,,1923.3683403602913,0.4999361185639453,5.41301477790554,5.426046590860696,12.433712363187258,16.23904433371662,16.278139772582087,0.6173771255532262,0.10710458886559515,0.016771488469601678,0.003028185418122525,0.288300995367185,0.09998722371278906,0.14199860237596088,0.1,0.5125164750223585,1.0250326178612494,0.4996805928197266,2.228120608151271,2.228120608151271,2.179804332634521,2.179804332634521,0.3711390635918938,0.373235499650594,0.36324248777078966,0.37051013277428374,0.33340321453529,0.36827393431167016,2.2217261904761907,0.04891684136967156,0.04891684136967156,0.4986722571628232,0.49865848984285166,0.49865848984285166,2.27667049955283,2.27667049955283,0.40908455625436757,0.1820902710884822,0.1820902710884822,0.4833777528405106,0.4833777528405106,0.5,6.039223201737575,6.039223201737575,0.5,0.5,3.964220824598183,3.964220824598183,0.30042199899087196,0.30042199899087196,29464.72115753162,910.5165389676761,0.20000000093777948,1267.7619425269365,1190.8758787712554,5503.079198695551,33.50400323665943,1.0357727396618543,14.161875558962565,0.433247166858311,11.578616753971296,81.99442102125123,2.5237453707252673,19781.503854179977,12782.71470550658,398.7301818970657,0.2000000013420212,18206.4259401218,0.0,0.0,207.82171968825858,270.15602721970185,67.67506707550785,40.78769841269841,4.66765873015873,10.500534374594945,5333.0078732820875,6285.89461914745,109.66207780107152,5333.0078732820875,6285.89461914745,109.66207780107152,0.0,0.0,0.0,0.7733519683205218,1.1741672490100163,0.778453296063359,0.7733519683205218,1.1741672490100163,0.778453296063359,8322.147379454927,10003.138201723736,172.359701840205,8322.147379454927,10003.138201723736,172.359701840205,0.0,0.0,0.0,1.5087817377125554,2.5565571861169345,1.5157465641742371,1.5087817377125554,2.5565571861169345,1.5157465641742371,11541.680192155216,14132.318735133622,230.74565085583694,11541.680192155216,14132.318735133622,230.74565085583694,0.0,0.0,0.0,2.414742782519472,4.624784291777436,2.4229513548808357,2.414742782519472,4.624784291777436,2.4229513548808357,14661.97454007087,18238.278554439104,283.04242512499394,14661.97454007087,18238.278554439104,283.04242512499394,0.0,0.0,0.0,3.4177224406582205,7.186471530508228,3.4272122712489685,3.4177224406582205,7.186471530508228,3.4272122712489685
std,,,,,0.031954172710412815,,0.3857924495559959,,0.9298586743877814,0.04087399922336105,57.650774279892104,,,,,,,,,,,,,,,,,,332.6032703637636,0.5000026576668972,6.470349696619896,6.202243367279702,14.575664264380704,8.12966855920492,8.12967438711965,1.102013529742512,0.35960734335617156,0.13119646286963818,0.054945888596669684,0.45297448535063767,0.29998488054724926,0.349051145418937,0.3000020964580342,0.2687180907162979,0.29995252581846227,0.5000158690999955,1.3652180915541163,1.3652180915541163,1.3202213364108686,1.3202213364108686,0.6598347957915903,0.6675044399825938,0.6482943181898443,0.6599234849150818,0.6553954325974097,0.6553348150138226,1.2949082929484843,0.23522942455173618,0.23522942455173618,0.500015708250427,0.5000141714139861,0.5000141714139861,1.8216445348919579,1.8216445348919579,0.4916820883032788,0.4467388182973875,0.4467388182973875,0.4997411497618766,0.4997411497618766,0.5000159711242115,3.637910204637707,3.637910204637707,0.5000174712161767,0.5000174712161767,2.5779303990549347,2.5779303990549347,0.6523270613263514,0.6523270613263513,30354.35530185628,891.8111567435609,0.08864533354295354,1198.8241923496373,1203.868183532514,7034.4742711327735,36.53414881488749,1.0784118079818859,15.09086887044011,0.4364876393209859,12.678141311796601,85.09274106597863,2.487133501917711,18573.959823935584,12301.537415615425,373.4184674986788,0.06130663604539878,17109.394030498566,0.1345196684676518,2.1681490344337746,103.45886097528013,271.42833501917937,91.14235100779334,64.72778605778795,9.296895267474506,9.815427547507696,4808.000788627348,5693.338413873253,101.7764094757362,4808.000788627348,5693.338413873253,101.7764094757362,684.2408265074121,567.195718493101,14.72782691025112,1.269676448170886,1.9869931442215767,1.2374469609025807,1.269676448170886,1.9869931442215767,1.2374469609025807,7516.626866855789,9066.55673004232,160.0306135823723,7516.626866855789,9066.55673004232,160.03061358237227,1309.1717883739175,1042.374833679717,21.93805768545135,2.1197244342521606,3.585482696013183,2.0578177400203383,2.1197244342521606,3.585482696013183,2.0578177400203383,10449.560953828364,12812.761395608633,214.73575345469982,10449.560953828362,12812.761395608633,214.7357534546998,2120.9995462781685,1818.150910620356,29.101595893144104,3.148123158565472,5.91323957550473,3.0458216107987592,3.148123158565472,5.913239575504731,3.0458216107987592,13290.544401240635,16570.074034046476,263.8033291940008,13290.544401240635,16570.074034046476,263.8033291940008,2848.454258468108,3262.2257481156557,35.40690429855577,4.27447030849257,8.784646502839507,4.123446178044009,4.27447030849257,8.784646502839507,4.123446178044009
min,,,,,2025.0,,0.0,,1.0,15.01,1.0,,,,,,,,,,,,,,,,,,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,25.049,0.015857,4.4056,1.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3394.0,201.0,8.4336,0.00813554,500.0,-0.476673,-9.03,0.0,0.0,0.0,0.0,0.0,0.0,1526.0,0.0,0.0,1526.0,0.0,0.0,-7330.0,-5309.0,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,2238.0,0.0,0.0,2238.0,0.0,0.0,-13867.0,-9538.0,-213.0,0.0,0.0,0.0,0.0,0.0,0.0,2925.0,80.0,0.0,2925.0,80.0,0.0,-19248.0,-14805.0,-253.0,0.0,0.0,0.0,0.0,0.0,0.0,4722.0,3503.0,7.0,4722.0,3503.0,7.0,-19225.0,-26182.0,-274.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,,,2025.0,,0.0,,1.0,15.05,3.75,,,,,,,,,,,,,,,,,,1694.0,0.0,1.0,2.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3021,0.8108,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,11245.5,370.5924,0.13114974999999998,541.717525,392.609075,755.0,10.0,0.3109,5.0,0.1624,3.0,28.0,0.9061,9886.0,5898.0,196.660875,0.167693,9125.0,-0.10238925,-1.54,166.0,34.0,0.0,0.0,0.0,6.0609,3073.0,3316.0,65.0,3073.0,3316.0,65.0,-304.0,-306.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4725.0,5509.0,102.0,4725.0,5509.0,102.0,-550.0,-512.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,6491.0,7976.0,135.0,6491.0,7976.0,135.0,-864.0,-811.25,-14.0,0.0,1.0,1.0,0.0,1.0,1.0,8165.0,10233.0,164.0,8165.0,10233.0,164.0,-1181.0,-1370.0,-17.0,1.0,2.0,1.0,1.0,2.0,1.0
50%,,,,,2025.0,,0.0,,1.0,15.08,6.5,,,,,,,,,,,,,,,,,,1858.0,0.0,3.0,4.0,8.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48605,0.9968,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,7.0,0.5,0.5,4.0,4.0,0.0,0.0,18805.5,602.1866,0.204885,765.5227500000001,736.05645,2990.0,14.0,0.4251,9.0,0.2789,7.0,42.0,1.27525,12576.0,8419.0,264.9429,0.2109605,11550.0,0.0,0.0,229.0,234.0,8.0,1.0,0.0,7.91355,3376.0,4115.0,79.0,3376.0,4115.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5269.0,6611.0,126.0,5269.0,6611.0,126.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7358.0,9362.0,169.0,7358.0,9362.0,169.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,2.0,9381.0,11989.0,208.0,9381.0,11989.0,208.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,4.0,2.0
75%,,,,,2025.0,,0.0,,2.0,15.11,9.25,,,,,,,,,,,,,,,,,,2108.0,1.0,7.0,6.0,13.0,22.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6916,1.2048,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,5.0,5.0,0.0,0.0,30813.25,917.7445749999999,0.26429475,1249.9384,1317.603175,7025.0,53.0,1.6991,16.0,0.470425,14.0,106.0,3.3694,16185.0,11498.25,344.886775,0.24381725,15000.0,0.10238925,1.54,276.0,303.0,162.0,109.0,4.0,9.399425,3779.0,4903.0,92.0,3779.0,4903.0,92.0,304.0,306.0,7.0,1.0,2.0,1.0,1.0,2.0,1.0,5997.0,7721.0,145.0,5997.0,7721.0,145.0,550.0,512.0,11.0,2.0,3.0,2.0,2.0,3.0,2.0,8469.0,10707.0,196.0,8469.0,10707.0,196.0,864.0,811.25,14.0,3.0,5.0,3.0,3.0,5.0,3.0,10901.0,13796.0,243.0,10901.0,13796.0,243.0,1181.0,1370.0,17.0,4.0,8.0,4.0,4.0,8.0,4.0
max,,,,,2026.0,,1.0,,5.0,15.16,200.0,,,,,,,,,,,,,,,,,,3621.0,1.0,48.0,48.0,128.0,48.0,48.0,10.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.1028,2.6321,1.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,6.0,6.0,1.0,4.0,4.0,1.0,1.0,1.0,15.0,15.0,1.0,1.0,15.0,15.0,10.0,10.0,315066.0,5905.5745,0.564174,6901.3876,9420.0202,43467.0,255.0,4.9609,131.0,2.9133,111.0,593.0,11.7464,116352.0,78040.0,1895.8281,0.412623,118860.0,0.476673,9.03,640.0,1587.0,431.0,245.0,71.0,41.6928,22713.0,21703.0,411.0,22713.0,21703.0,411.0,7330.0,5309.0,114.0,19.0,35.0,19.0,19.0,35.0,19.0,35963.0,36444.0,617.0,35963.0,36444.0,617.0,13867.0,9538.0,213.0,27.0,46.0,27.0,27.0,46.0,27.0,48539.0,53502.0,842.0,48539.0,53502.0,842.0,19248.0,14805.0,253.0,40.0,78.0,40.0,40.0,78.0,40.0,60330.0,73801.0,1066.0,60330.0,73801.0,1066.0,19225.0,26182.0,274.0,42.0,90.0,42.0,42.0,90.0,42.0
