playername,doublekills,triplekills,quadrakills,pentakills
Denathor,12.0,1.0,0.0,0.0
Destroy,3.0,0.0,0.0,0.0
Destru,5.0,1.0,0.0,0.0
Devn,32.0,8.0,1.0,0.0
Devost,18.0,4.0,0.0,0.0
Dextyle,0.0,0.0,0.0,0.0
Dezo,3.0,0.0,0.0,0.0
Dhokla,0.0,0.0,0.0,0.0
DiDi,21.0,6.0,1.0,1.0
Diable,64.0,19.0,3.0,1.0
Diamond,0.0,0.0,0.0,0.0
Dinai,2.0,0.0,0.0,0.0
Dinastik,5.0,1.0,0.0,0.0
Dino,5.0,0.0,0.0,0.0
Dionelux,10.0,1.0,0.0,0.0
Dipi,0.0,0.0,0.0,0.0
Diplex,17.0,2.0,0.0,0.0
Dire,24.0,3.0,0.0,0.0
Disamis,13.0,1.0,0.0,0.0
Diva,9.0,1.0,0.0,0.0
Divine,8.0,0.0,0.0,0.0
DizL,1.0,0.0,0.0,0.0
Dizin,13.0,0.0,0.0,0.0
Djoko,17.0,1.0,0.0,0.0
Dman,1.0,0.0,0.0,0.0
DnDn,14.0,3.0,0.0,0.0
Doggo,106.0,22.0,7.0,2.0
Doinb,0.0,0.0,0.0,0.0
Dolis,16.0,3.0,0.0,0.0
Domas,7.0,0.0,0.0,0.0
Dome,5.0,0.0,0.0,0.0
Don Ponk,0.0,0.0,0.0,0.0
DonJake,0.0,0.0,0.0,0.0
Doni,7.0,1.0,0.0,0.0
Dooly,2.0,0.0,0.0,0.0
Doran,33.0,7.0,0.0,0.0
Dorian,0.0,0.0,0.0,0.0
Doss,1.0,0.0,0.0,0.0
Dotmm,22.0,2.0,1.0,0.0
DoubleAces,3.0,1.0,0.0,0.0
DoubleAiM,17.0,2.0,0.0,0.0
DoubleB,5.0,0.0,0.0,0.0
Doublelift,23.0,7.0,2.0,0.0
Doxy,4.0,1.0,0.0,0.0
DrCalculus,3.0,0.0,0.0,0.0
DrSaw,0.0,0.0,0.0,0.0
Dragneel,0.0,0.0,0.0,0.0
Dragonblood,18.0,3.0,0.0,0.0
Dragoon,5.0,0.0,0.0,0.0
Drakehero,9.0,2.0,0.0,0.0
Draktharr,21.0,5.0,1.0,0.0
Drannarith,0.0,0.0,0.0,0.0
Draxo5,1.0,0.0,0.0,0.0
Dream,10.0,1.0,0.0,0.0
Dreilix,3.0,1.0,0.0,0.0
Driver,10.0,0.0,0.0,0.0
Dro,3.0,0.0,0.0,0.0
Droekt,0.0,0.0,0.0,0.0
Drofan,24.0,9.0,1.0,0.0
Druk,1.0,0.0,0.0,0.0
Druust,10.0,2.0,0.0,0.0
Druxy,18.0,3.0,0.0,0.0
DuDu,17.0,3.0,0.0,0.0
Ducks,1.0,0.0,0.0,0.0
Duduhh,4.0,2.0,1.0,0.0
Dumbao,0.0,0.0,0.0,0.0
Duro,2.0,0.0,0.0,0.0
Dya,18.0,3.0,0.0,0.0
Dyego,2.0,2.0,0.0,0.0
Dyenn,20.0,6.0,0.0,0.0
Dzeffry,26.0,5.0,0.0,0.0
ECOGentlemanHer,0.0,0.0,0.0,0.0
ECSTASSY,3.0,1.0,1.0,0.0
EDGY Palkia,0.0,0.0,0.0,0.0
EDGY linn,2.0,0.0,0.0,0.0
EDGY mikasa,1.0,0.0,0.0,0.0
EDGY qiuyu ,0.0,0.0,0.0,0.0
EE miflond,1.0,1.0,0.0,0.0
EG Digit,3.0,0.0,0.0,0.0
EG Raiderr,0.0,0.0,0.0,0.0
EG Ratel,3.0,0.0,0.0,0.0
EG Yuta,4.0,0.0,0.0,0.0
EG ZeeTee,0.0,0.0,0.0,0.0
EKO DVN,1.0,0.0,0.0,0.0
EKO K1NG1,0.0,0.0,0.0,0.0
EL,21.0,6.0,0.0,0.0
EN,0.0,0.0,0.0,0.0
ESBA DON ADY,2.0,0.0,0.0,0.0
ESCIK,19.0,5.0,1.0,0.0
EUNE,0.0,0.0,0.0,0.0
EVO Dayllen,0.0,0.0,0.0,0.0
EVO Fat Yoda,0.0,0.0,0.0,0.0
EVO Geraldes,0.0,0.0,0.0,0.0
EVO Ghost3,1.0,0.0,0.0,0.0
EVO Kryzen7,0.0,0.0,0.0,0.0
EVO Tebi GG,0.0,0.0,0.0,0.0
Early Bird,0.0,0.0,0.0,0.0
EasyLove,0.0,0.0,0.0,0.0
Eckas,11.0,2.0,0.0,0.0
Eclipse,75.0,12.0,2.0,0.0
EdbyK,1.0,0.0,0.0,0.0
Eddie,33.0,6.0,2.0,0.0
Efias,0.0,0.0,0.0,0.0
Egnom,2.0,0.0,0.0,0.0
Egotistic,0.0,0.0,0.0,0.0
Eika,20.0,2.0,0.0,0.0
ElOjoNinja,1.0,0.0,0.0,0.0
Electro,2.0,0.0,0.0,0.0
Elijah,3.0,0.0,0.0,0.0
Elio,2.0,0.0,0.0,0.0
Elix1r,5.0,0.0,0.0,0.0
Elk,10.0,2.0,1.0,0.0
Ellim,15.0,3.0,0.0,0.0
Elramir,12.0,1.0,0.0,0.0
Elyoya,19.0,1.0,0.0,0.0
Emo,10.0,3.0,0.0,0.0
Emprez,1.0,0.0,0.0,0.0
Empyros,15.0,1.0,0.0,0.0
Enapon,6.0,1.0,0.0,0.0
Endless,5.0,1.0,0.0,0.0
Endz,0.0,0.0,0.0,0.0
Eneino,0.0,0.0,0.0,0.0
Enga,17.0,0.0,0.0,0.0
Enigma,2.0,0.0,0.0,0.0
Enjawve,1.0,0.0,0.0,0.0
Enkil,0.0,0.0,0.0,0.0
Enosh,14.0,2.0,0.0,0.0
Enricfh,5.0,0.0,0.0,0.0
Enthralled,1.0,0.0,0.0,0.0
Envy,20.0,4.0,1.0,0.0
Envyy,54.0,12.0,1.0,0.0
Ephekles,0.0,0.0,0.0,0.0
Equinox,1.0,0.0,0.0,0.0
Erdote,2.0,0.0,0.0,0.0
Erha,0.0,0.0,0.0,0.0
Erk,0.0,0.0,0.0,0.0
Ermoke,0.0,0.0,0.0,0.0
Erolle,0.0,0.0,0.0,0.0
Errado,0.0,0.0,0.0,0.0
Ersin,0.0,0.0,0.0,0.0
Escanor,0.0,0.0,0.0,0.0
Eski,0.0,0.0,0.0,0.0
Eskiper,0.0,0.0,0.0,0.0
Esko,24.0,6.0,0.0,0.0
Ethe,0.0,0.0,0.0,0.0
Etoo,19.0,1.0,1.0,1.0
Euphoria,34.0,8.0,1.0,0.0
Ever,4.0,1.0,0.0,0.0
Evi,7.0,1.0,0.0,0.0
Excaliburt,0.0,0.0,0.0,0.0
Exduardo,4.0,0.0,0.0,0.0
Execute,0.0,0.0,0.0,0.0
Exile1,6.0,0.0,0.0,0.0
Exiled,0.0,0.0,0.0,0.0
Exofeng,37.0,8.0,1.0,0.0
Eyla,1.0,1.0,0.0,0.0
Eyliph,14.0,3.0,0.0,0.0
F0X Fr0zen ,0.0,0.0,0.0,0.0
F3IV,0.0,0.0,0.0,0.0
FATE,11.0,3.0,1.0,1.0
FBI,17.0,3.0,0.0,0.0
FENZ1,23.0,7.0,2.0,0.0
FGG,2.0,0.0,0.0,0.0
FIERCE,20.0,5.0,0.0,0.0
FIESTA,18.0,2.0,1.0,1.0
FLH Frankfurt,1.0,0.0,0.0,0.0
FRAC Radar,0.0,0.0,0.0,0.0
FS ChallenQ,14.0,6.0,4.0,1.0
FS Oliv,1.0,0.0,0.0,0.0
FSZ,17.0,1.0,0.0,0.0
FUE Devost,2.0,0.0,0.0,0.0
FVN Shuhari,0.0,0.0,0.0,0.0
Fade,38.0,6.0,0.0,0.0
Faded,15.0,4.0,0.0,0.0
Faetski,31.0,6.0,2.0,0.0
Faith,0.0,0.0,0.0,0.0
FakeGod,16.0,4.0,1.0,0.0
Faker,38.0,9.0,1.0,1.0
Fallen,10.0,2.0,1.0,0.0
Falleo,10.0,4.0,0.0,0.0
Fame,2.0,0.0,0.0,0.0
Farfetch,2.0,0.0,0.0,0.0
Fatihcan,3.0,0.0,0.0,0.0
Fatorix,13.0,0.0,0.0,0.0
Feather,0.0,0.0,0.0,0.0
Fede,38.0,7.0,0.0,0.0
Feisty,22.0,5.0,2.0,0.0
Feitan,0.0,0.0,0.0,0.0
Felopo,0.0,0.0,0.0,0.0
FenRir,65.0,15.0,3.0,1.0
Feng,109.0,24.0,6.0,1.0
Ferenc,2.0,0.0,0.0,0.0
Ferrari,1.0,0.0,0.0,0.0
Ferret,9.0,0.0,0.0,0.0
Fikus,2.0,0.0,0.0,0.0
FireAscept,2.0,0.0,0.0,0.0
Fireblade,1.0,0.0,0.0,0.0
FisheR,1.0,1.0,0.0,0.0
Fisher,49.0,11.0,1.0,0.0
Fishireal,5.0,0.0,0.0,0.0
Fishue,2.0,0.0,0.0,0.0
Fla01,0.0,0.0,0.0,0.0
Flakked,17.0,1.0,0.0,0.0
Flamer,2.0,0.0,0.0,0.0
Flandre,11.0,1.0,0.0,0.0
Flauren,39.0,5.0,1.0,1.0
FleekZ,0.0,0.0,0.0,0.0
Fleshy,1.0,0.0,0.0,0.0
FlickeR,53.0,10.0,2.0,0.0
FliiZee,14.0,2.0,1.0,1.0
Flip,40.0,7.0,0.0,0.0
Floris56,4.0,0.0,0.0,0.0
Fluffy,2.0,0.0,0.0,0.0
Flying,2.0,0.0,0.0,0.0
FoFo,25.0,3.0,0.0,0.0
Fogzy,7.0,3.0,0.0,0.0
Follow,6.0,0.0,0.0,0.0
FoobaR,1.0,0.0,0.0,0.0
Fool,0.0,0.0,0.0,0.0
Fooneses,0.0,0.0,0.0,0.0
Forest,32.0,2.0,1.0,1.0
Forlin,9.0,2.0,0.0,0.0
Fornoreason,19.0,1.0,0.0,0.0
Fortu,0.0,0.0,0.0,0.0
Foxie,15.0,2.0,0.0,0.0
Fragola,4.0,0.0,0.0,0.0
Franky,5.0,2.0,0.0,0.0
Frappii,1.0,0.0,0.0,0.0
Fred,4.0,1.0,0.0,0.0
Free,1.0,0.0,0.0,0.0
Freestyle,0.0,0.0,0.0,0.0
Fresskowy,16.0,3.0,1.0,0.0
Frexey,9.0,3.0,1.0,0.0
Friple,0.0,0.0,0.0,0.0
Frixter,0.0,0.0,0.0,0.0
Frog,37.0,8.0,0.0,0.0
Frost,20.0,2.0,0.0,0.0
Frozen,1.0,0.0,0.0,0.0
Fudge,10.0,2.0,0.0,0.0
Fugu,0.0,0.0,0.0,0.0
Fun K3y,31.0,2.0,0.0,0.0
Funky Dog,15.0,3.0,1.0,0.0
Furby,2.0,0.0,0.0,0.0
Furuy,26.0,0.0,0.0,0.0
Fush,4.0,0.0,0.0,0.0
Fuuu,3.0,0.0,0.0,0.0
Fynox,4.0,1.0,1.0,0.0
GALA,0.0,0.0,0.0,0.0
GBCN Pyrus,0.0,0.0,0.0,0.0
GDG Compu,0.0,0.0,0.0,0.0
GDG miaemi,0.0,0.0,0.0,0.0
GGA Hosanna,0.0,0.0,0.0,0.0
GIDEON,22.0,1.0,1.0,1.0
GLE notiim,4.0,2.0,1.0,0.0
GLR Nicolayyi,1.0,0.0,0.0,0.0
GLR RonyG,0.0,0.0,0.0,0.0
GMB atatt,0.0,0.0,0.0,0.0
GRX,3.0,0.0,0.0,0.0
GTZ Gary,1.0,0.0,0.0,0.0
GTZ Spy2,2.0,0.0,0.0,0.0
GUP 1334mat,3.0,2.0,0.0,0.0
GUP Legend,0.0,0.0,0.0,0.0
GUP Ricarderix,0.0,0.0,0.0,0.0
GUP Sidbuck,0.0,0.0,0.0,0.0
GZ Frozen,1.0,0.0,0.0,0.0
GZ Gon,1.0,0.0,0.0,0.0
GZ Herma,4.0,0.0,0.0,0.0
GZ Kin0,0.0,0.0,0.0,0.0
Gaarfield,0.0,0.0,0.0,0.0
Gaeng,0.0,0.0,0.0,0.0
Gakgos,13.0,2.0,0.0,0.0
Galaxynt,1.0,1.0,0.0,0.0
Ganks,2.0,1.0,0.0,0.0
GaraXy,0.0,0.0,0.0,0.0
Garank,0.0,0.0,0.0,0.0
Garden,33.0,4.0,1.0,0.0
Gastruks,0.0,0.0,0.0,0.0
Gato,0.0,0.0,0.0,0.0
Gatovisck,0.0,0.0,0.0,0.0
Gavotto,35.0,8.0,2.0,1.0
Gaëthan,9.0,0.0,0.0,0.0
GekkoSzaby,0.0,0.0,0.0,0.0
Gemini,16.0,2.0,0.0,0.0
Genos,1.0,0.0,0.0,0.0
Ghost,6.0,3.0,2.0,0.0
Ghost2,0.0,0.0,0.0,0.0
GianKios,2.0,0.0,0.0,0.0
Gilito,0.0,0.0,0.0,0.0
Giomatic,0.0,0.0,0.0,0.0
Giyuu,56.0,4.0,0.0,0.0
GoDirr,4.0,1.0,0.0,0.0
Goldenpenny,15.0,4.0,1.0,1.0
Goliah,14.0,2.0,0.0,0.0
Goliath,0.0,0.0,0.0,0.0
Gom,0.0,0.0,0.0,0.0
Gon,0.0,0.0,0.0,0.0
Gordinho,1.0,0.0,0.0,0.0
Gori,20.0,2.0,1.0,0.0
Grave,34.0,3.0,1.0,0.0
Grell,10.0,2.0,0.0,0.0
Gremy,2.0,0.0,0.0,0.0
Grevthar,13.0,2.0,0.0,0.0
Grimm,1.0,0.0,0.0,0.0
Grizzly,49.0,9.0,2.0,1.0
Gru,11.0,2.0,0.0,0.0
Gryffinn,2.0,1.0,0.0,0.0
Grèédy,0.0,0.0,0.0,0.0
Gtracks,0.0,0.0,0.0,0.0
Guanch0,4.0,1.0,0.0,0.0
Guardian,21.0,4.0,0.0,0.0
Guertas,23.0,3.0,1.0,0.0
Guigo,21.0,5.0,1.0,0.0
Guigs,0.0,0.0,0.0,0.0
Guirlande,0.0,0.0,0.0,0.0
Guli,8.0,1.0,0.0,0.0
Gumayusi,95.0,22.0,4.0,0.0
Guppy,12.0,2.0,0.0,0.0
Gury,30.0,5.0,1.0,0.0
Gus,10.0,0.0,0.0,0.0
Guti,25.0,6.0,0.0,0.0
Guubi,0.0,0.0,0.0,0.0
Guwon,10.0,3.0,0.0,0.0
H1tokiri,0.0,0.0,0.0,0.0
HAKA,2.0,0.0,0.0,0.0
HALdesu,9.0,2.0,1.0,0.0
HAP DerSchrank,1.0,0.0,0.0,0.0
HAP Dishonored,5.0,1.0,1.0,0.0
HARPOON,81.0,24.0,6.0,1.0
HAWHAW,7.0,1.0,0.0,0.0
HC KZT,0.0,0.0,0.0,0.0
HLE Eclipse,4.0,0.0,0.0,0.0
HLE Hailstone,0.0,0.0,0.0,0.0
HLE Panther,2.0,0.0,0.0,0.0
HM Delta 1,0.0,0.0,0.0,0.0
HNS Bera,0.0,0.0,0.0,0.0
HNS Nakamoto,3.0,0.0,0.0,0.0
HNS R1to,2.0,0.0,0.0,0.0
HNS Rumi,15.0,4.0,2.0,0.0
HNS Skinny,0.0,0.0,0.0,0.0
HNS ekkusu,2.0,0.0,0.0,0.0
HNS phast,0.0,0.0,0.0,0.0
HNS tetras256,0.0,0.0,0.0,0.0
HNVR Boempel,2.0,2.0,0.0,0.0
HNVR storm,2.0,0.0,0.0,0.0
HOF Crisrock,0.0,0.0,0.0,0.0
HOF Ghost2,0.0,0.0,0.0,0.0
HOF Julzh,0.0,0.0,0.0,0.0
HOF Leazor,0.0,0.0,0.0,0.0
HOF Martim,0.0,0.0,0.0,0.0
HOF Phlloz,0.0,0.0,0.0,0.0
HOF Primata,0.0,0.0,0.0,0.0
HOF Sashimi,0.0,0.0,0.0,0.0
HOF Silence,0.0,0.0,0.0,0.0
HOF ThunderPeng,0.0,0.0,0.0,0.0
HOF Zezin,1.0,0.0,0.0,0.0
HOF vicarious,0.0,0.0,0.0,0.0
HONOR,0.0,0.0,0.0,0.0
HOYA,0.0,0.0,0.0,0.0
HPS EN,0.0,0.0,0.0,0.0
HST David Do,1.0,0.0,0.0,0.0
HST DinhViet,2.0,0.0,0.0,0.0
HST Terry,0.0,0.0,0.0,0.0
HST Wady,2.0,0.0,0.0,0.0
Hades2,3.0,1.0,0.0,0.0
Haetae,32.0,5.0,0.0,0.0
Hailstone,6.0,1.0,0.0,0.0
Hakari,2.0,0.0,0.0,0.0
HamBak,7.0,0.0,0.0,0.0
Hamsi,1.0,1.0,0.0,0.0
Hamudis,2.0,0.0,0.0,0.0
Hanbyeol,28.0,3.0,1.0,0.0
Hang,0.0,0.0,0.0,0.0
Hans SamD,59.0,16.0,6.0,1.0
Hans Sama,44.0,7.0,0.0,0.0
Haoswen,0.0,0.0,0.0,0.0
Harbo,31.0,3.0,1.0,0.0
Harky,34.0,5.0,3.0,0.0
Harp,2.0,0.0,0.0,0.0
Hasu7,45.0,7.0,1.0,0.0
Hatsu,11.0,3.0,0.0,0.0
Hattor1s,8.0,0.0,0.0,0.0
Hauz,16.0,5.0,1.0,0.0
Hax,6.0,2.0,0.0,0.0
Hazel,24.0,4.0,0.0,0.0
HeSSZero,17.0,3.0,2.0,0.0
Heart,0.0,0.0,0.0,0.0
Hena,11.0,3.0,0.0,0.0
Heng,0.0,0.0,0.0,0.0
Henli,5.0,1.0,0.0,0.0
Heprex,0.0,0.0,0.0,0.0
Herma,46.0,6.0,1.0,0.0
Heroic,29.0,3.0,0.0,0.0
Heru,1.0,0.0,0.0,0.0
Hery,0.0,0.0,0.0,0.0
Hetel,1.0,0.0,0.0,0.0
Hhiep,2.0,0.0,0.0,0.0
HiRit,12.0,1.0,0.0,0.0
Hid0,5.0,2.0,1.0,1.0
Hidan,7.0,1.0,0.0,0.0
Highway,0.0,0.0,0.0,0.0
Hika,2.0,0.0,0.0,0.0
Hildebrandt,0.0,0.0,0.0,0.0
Himmel,3.0,0.0,0.0,0.0
Hinata,26.0,1.0,0.0,0.0
Hiro,0.0,0.0,0.0,0.0
Hiro02,5.0,1.0,0.0,0.0
Hitsu,10.0,2.0,0.0,0.0
Hizto,23.0,3.0,1.0,0.0
Hollow,0.0,0.0,0.0,0.0
HongQ,44.0,9.0,2.0,0.0
HongSuo,50.0,7.0,2.0,1.0
Hope,24.0,5.0,1.0,0.0
Horder,22.0,5.0,1.0,0.0
Horus,10.0,3.0,0.0,0.0
Hosanna,4.0,0.0,0.0,0.0
HotPot,19.0,3.0,1.0,0.0
Howling,17.0,5.0,0.0,0.0
Hran,4.0,1.0,0.0,0.0
Hub,17.0,3.0,1.0,0.0
Humanoid,36.0,7.0,0.0,0.0
Humble,3.0,0.0,0.0,0.0
Hummelu,2.0,0.0,0.0,0.0
Humzh,11.0,0.0,0.0,0.0
HungryPanda,3.0,0.0,0.0,0.0
Hungtwo,0.0,0.0,0.0,0.0
Hunt,4.0,0.0,0.0,0.0
Huron,27.0,6.0,0.0,0.0
Husha,3.0,0.0,0.0,0.0
Hustle,16.0,3.0,0.0,0.0
Hustlin,0.0,0.0,0.0,0.0
Huubiii,2.0,0.0,0.0,0.0
Hwichan,38.0,6.0,0.0,0.0
Hydra,18.0,2.0,0.0,0.0
Hydraa,0.0,0.0,0.0,0.0
Hygon,3.0,0.0,0.0,0.0
Hylissang,2.0,0.0,0.0,0.0
Hyorai,1.0,0.0,0.0,0.0
Hypa,4.0,0.0,0.0,0.0
Hype,51.0,14.0,2.0,1.0
Hyper720,1.0,0.0,0.0,0.0
ICON Ace2,3.0,0.0,0.0,0.0
ICON Alitan,1.0,0.0,0.0,0.0
ICON BetoEZ,0.0,0.0,0.0,0.0
ICON Zeckro,1.0,0.0,0.0,0.0
IDA,7.0,1.0,0.0,0.0
IHEBIC,1.0,0.0,0.0,0.0
IN5 Troublemak,0.0,0.0,0.0,0.0
INF Stepz,0.0,0.0,0.0,0.0
ISMA,12.0,1.0,0.0,0.0
IanaTheAlpha,0.0,0.0,0.0,0.0
Ibai,30.0,11.0,4.0,0.0
Ice,31.0,8.0,2.0,1.0
IceBreaker,1.0,0.0,0.0,0.0
Ichiwin,0.0,0.0,0.0,0.0
Icytower,8.0,3.0,0.0,0.0
Iheb,1.0,0.0,0.0,0.0
Ihy0,3.0,1.0,0.0,0.0
IlllIma,9.0,1.0,0.0,0.0
Ilyxøu,11.0,1.0,0.0,0.0
Impact,14.0,1.0,0.0,0.0
Impp,0.0,0.0,0.0,0.0
Improver,21.0,6.0,3.0,0.0
Impulse,0.0,0.0,0.0,0.0
Infinity,4.0,1.0,0.0,0.0
Infoneral,4.0,0.0,0.0,0.0
Innaxe,33.0,6.0,2.0,0.0
Insanity,26.0,7.0,0.0,0.0
Inspire,17.0,1.0,0.0,0.0
Inspired,16.0,0.0,0.0,0.0
Instinct,13.0,4.0,0.0,0.0
Intensitive,1.0,0.0,0.0,0.0
Intio,18.0,7.0,2.0,0.0
IntoxqZz,2.0,2.0,0.0,0.0
Inzuh,13.0,0.0,0.0,0.0
Ipecacuhana,0.0,0.0,0.0,0.0
Irrelevant,9.0,2.0,0.0,0.0
Isles,2.0,0.0,0.0,0.0
Italin,0.0,0.0,0.0,0.0
ItsCoto,1.0,1.0,0.0,0.0
Ivama,7.0,1.0,0.0,0.0
Ivok,3.0,0.0,0.0,0.0
Ivory,16.0,3.0,0.0,0.0
J0J0C,16.0,5.0,0.0,0.0
J3rkie,1.0,0.0,0.0,0.0
JACTROLL,4.0,0.0,0.0,0.0
JForteX,0.0,0.0,0.0,0.0
JNX,14.0,3.0,0.0,0.0
JT,0.0,0.0,0.0,0.0
JaVaaa,2.0,0.0,0.0,0.0
Jabu,0.0,0.0,0.0,0.0
Jackal,37.0,5.0,2.0,1.0
JackeyLove,3.0,0.0,0.0,0.0
Jackies,15.0,1.0,1.0,0.0
Jaehyuk,21.0,3.0,0.0,0.0
Jakobobbi,0.0,0.0,0.0,0.0
Jakoo,0.0,0.0,0.0,0.0
Jalleba,20.0,6.0,1.0,0.0
Jamie,16.0,3.0,1.0,0.0
Jandro,0.0,0.0,0.0,0.0
Janis,4.0,0.0,0.0,0.0
Jankos,9.0,1.0,0.0,0.0
Janus,28.0,3.0,2.0,0.0
Jarvis,3.0,0.0,0.0,0.0
Jauny,5.0,1.0,0.0,0.0
JayJay,3.0,2.0,0.0,0.0
Jcom,3.0,1.0,0.0,0.0
Jellou,2.0,0.0,0.0,0.0
Jelly,0.0,0.0,0.0,0.0
Jenxas,12.0,0.0,0.0,0.0
Jericho,4.0,1.0,0.0,0.0
Jerry,0.0,0.0,0.0,0.0
Jeskla,35.0,13.0,0.0,0.0
Jeykup,19.0,1.0,0.0,0.0
Jeyrus,6.0,1.0,1.0,0.0
Jezu,21.0,6.0,2.0,0.0
JiT,0.0,0.0,0.0,0.0
JiaHao,7.0,3.0,1.0,0.0
JiaQi,0.0,0.0,0.0,0.0
Jiejie,0.0,0.0,0.0,0.0
JimieN,7.0,0.0,0.0,0.0
Jimsnop,7.0,1.0,0.0,0.0
Jinbeom,45.0,7.0,1.0,0.0
Jisoo,0.0,0.0,0.0,0.0
Jiux,2.0,0.0,0.0,0.0
Jiwoo,68.0,16.0,1.0,0.0
JoJo,0.0,0.0,0.0,0.0
JoKozz,0.0,0.0,0.0,0.0
Joao,8.0,0.0,0.0,0.0
Joekie,9.0,1.0,0.0,0.0
Joexy,0.0,0.0,0.0,0.0
Johnarnau,0.0,0.0,0.0,0.0
Joinze,18.0,2.0,0.0,0.0
Jojopyun,24.0,1.0,0.0,0.0
JokerHan,2.0,0.0,0.0,0.0
Joki37,5.0,0.0,0.0,0.0
Jool,29.0,1.0,0.0,0.0
Jopa,38.0,6.0,2.0,1.0
Jordan,0.0,0.0,0.0,0.0
Josedeodo,18.0,1.0,0.0,0.0
Josifek04,17.0,3.0,1.0,1.0
Jovian,0.0,0.0,0.0,0.0
JuanDeDios,1.0,0.0,0.0,0.0
Juhan,22.0,3.0,0.0,0.0
Juliera,4.0,1.0,0.0,0.0
Julzh,0.0,0.0,0.0,0.0
Jun,1.0,0.0,0.0,0.0
JunJia,31.0,6.0,2.0,1.0
Jungoat,3.0,1.0,0.0,0.0
Junhao,0.0,0.0,0.0,0.0
JustFocus,0.0,0.0,0.0,0.0
Juzu,12.0,3.0,1.0,0.0
Jwei,0.0,0.0,0.0,0.0
Jwic,2.0,1.0,0.0,0.0
K0G0LA,0.0,0.0,0.0,0.0
