teamname,dragons,teamkills,towers,totalgold
Bilibili Gaming,356.0,2482,1000.0,8763081
Anyone's Legend,348.0,2509,944.0,8942141
Gen.G,319.0,1945,873.0,7373536
Hanwha Life Esports,297.0,1995,807.0,7287819
Invictus Gaming,284.0,1799,688.0,6751044
Top Esports,283.0,2063,862.0,7870079
T1,277.0,1934,795.0,7142676
KT Rolster Challengers,274.0,1905,723.0,5886187
Karmine Corp,256.0,1399,653.0,5767023
CTBC Flying Oyster,256.0,1454,695.0,5749799
Team WE,248.0,1649,587.0,6765686
Los Ratones,244.0,1538,694.0,5250104
Karmine Corp Blue,244.0,1459,662.0,5439405
Weibo Gaming,242.0,1531,619.0,6455811
Barça eSports,238.0,1650,637.0,5950664
T1 Esports Academy,236.0,1684,738.0,6619454
BNK FEARX Youth,228.0,1706,608.0,6141073
KT Rolster,225.0,1264,460.0,5200869
Dplus KIA,221.0,1376,551.0,5664042
JD Gaming,219.0,1574,691.0,6489924
Team Phantasma,218.0,1660,637.0,5118617
Deep Cross Gaming,217.0,1941,623.0,4927466
DRX Challengers,216.0,1548,616.0,5793435
Ninjas in Pyjamas,209.0,1453,531.0,5854848
G2 Esports,207.0,1181,561.0,5207816
Berlin International Gaming,205.0,1676,662.0,5057626
Gen.G Global Academy,204.0,1344,527.0,5563725
FunPlus Phoenix,202.0,1361,479.0,5799838
ROSSMANN Centaurs,201.0,1354,522.0,4778478
BK ROG Esports,201.0,1218,552.0,5053532
Hanwha Life Esports Challengers,199.0,1404,484.0,5406836
Los Heretics,198.0,1314,595.0,4891553
KT Rolster Academy,197.0,1518,535.0,4398933
Dplus KIA Challengers,197.0,1178,339.0,5053882
Movistar KOI,191.0,1092,489.0,4885742
GAM Esports,190.0,1092,492.0,5002736
Gentle Mates,186.0,862,438.0,4375240
BoostGate Esports,185.0,1274,457.0,4243094
Nongshim Esports Academy,184.0,1221,485.0,5086100
DN Freecs Challengers,183.0,1417,577.0,5424044
Geekay Esports,180.0,1563,655.0,4586872
ThunderTalk Gaming,175.0,1163,444.0,5268976
FlyQuest,172.0,1073,481.0,4122283
DRX,172.0,1107,408.0,5084717
Crvena zvezda Esports,172.0,1353,509.0,4033345
Meavedron,171.0,1410,472.0,4267065
T1 Esports Academy Rookies,171.0,1455,495.0,4012696
BNK FEARX,170.0,1072,421.0,4426694
Back2TheGame,170.0,1061,388.0,3686882
BAAM Esports,169.0,1408,466.0,4612098
Frank Esports,169.0,1503,582.0,4809129
DN Freecs Academy,168.0,1154,401.0,3804663
E WIE EINFACH E-SPORTS,167.0,1161,465.0,4728203
Nightbirds,165.0,1307,551.0,4138907
OKSavingsBank BRION,164.0,1037,385.0,4675829
Nongshim RedForce,164.0,1274,553.0,5521580
Kaufland Hangry Knights,164.0,1303,493.0,4485605
Entropiq,162.0,1119,457.0,3967005
ZennIT,162.0,1162,463.0,3871777
Fnatic,162.0,1023,460.0,3988391
GnG Amazigh,162.0,1198,449.0,4280278
eSuba,161.0,1334,488.0,4263953
MGN Vikings Esports,159.0,934,406.0,3846046
OKSavingsBank BRION Challengers,157.0,1150,434.0,5145002
Ici Japon Corp. Esport,157.0,1038,430.0,4273883
PSG Talon,155.0,933,459.0,4214102
Gamespace Mediterranean College Esports,152.0,1188,439.0,3765406
Project Conquerors,152.0,1081,401.0,3740369
Misa Esports,151.0,1291,483.0,4126810
mCon esports,150.0,1071,421.0,3373583
GIANTX Pride,149.0,1097,497.0,3972690
West Point Esports,148.0,1702,552.0,4804141
Forsaken,147.0,1057,404.0,3717617
Team Liquid,146.0,855,378.0,3577202
Diversion Gaming,146.0,1195,399.0,3430417
Austrian Force willhaben,145.0,1011,380.0,3740532
Dplus KIA Youth,144.0,1147,358.0,3540250
Esprit Shōnen,143.0,994,426.0,3347908
Unicorns of Love Sexy Edition,142.0,1049,440.0,3905673
One More Esports,142.0,1062,333.0,3742036
REJECT,141.0,1224,483.0,3298003
Papara SuperMassive,139.0,1062,362.0,3698736
Cloud9,139.0,821,365.0,3217562
Saigon Dino,137.0,991,335.0,3003902
Ultra Prime,137.0,772,307.0,3631962
FURIA,136.0,910,399.0,3727037
paiN Gaming,135.0,737,315.0,3065330
Solary,134.0,832,320.0,3456226
Vitality.Bee,133.0,795,351.0,3571030
ULF Esports,133.0,951,369.0,3627513
Zero Tenacity,133.0,1510,580.0,4677577
Luminosity Gaming,133.0,728,342.0,2626963
Hanwha Life Esports Academy,133.0,1654,492.0,4527930
KIA.eSuba Academy,133.0,1333,467.0,4063770
NORD Esports,132.0,1055,394.0,3413104
Galions,130.0,918,384.0,3394346
StormMedia Fajnie Mieć Skład,129.0,905,364.0,3007104
TeamOrangeGaming,128.0,1057,386.0,3638123
Yang Yang Gaming,128.0,1207,362.0,3224892
QT DIG∞,127.0,1001,402.0,2979940
DN Freecs,127.0,828,308.0,4480069
Anubis Gaming,127.0,1080,402.0,3978402
Veni Vidi Vici,126.0,742,302.0,2829344
Verdant,126.0,834,325.0,2914594
Fog Esports,125.0,977,324.0,3343952
EDward Gaming,125.0,715,310.0,3092134
Ethereal Enigmas,124.0,937,279.0,3006719
Conviction,122.0,758,319.0,2845454
Eintracht Frankfurt,122.0,809,316.0,3270892
Team Secret Whales,120.0,666,271.0,2752832
Partizan Sangal,119.0,828,314.0,2589626
PSG Talon Academy,119.0,1067,332.0,3230732
wangting,118.0,1302,326.0,3328473
GMBLERS Esports,118.0,794,301.0,2799624
Fox Gaming,117.0,874,313.0,3332828
Team Valiant,116.0,862,342.0,2766727
Team Insidious,114.0,848,277.0,2825703
SPIKE Syndicate,114.0,978,343.0,3055768
AVE Axolotl,114.0,864,316.0,3082429
Team UNiTY,114.0,875,322.0,3018668
Nocturne Gale,114.0,847,306.0,2302996
Clocks,113.0,801,308.0,2798578
Tan'i eSports CZ,113.0,763,292.0,2874312
LGD Gaming,111.0,753,275.0,3082122
Vivo Keyd Stars Academy,111.0,722,306.0,2582248
Near Airport,110.0,614,283.0,2440435
Oxygen Gaming,109.0,775,312.0,2673682
Delta Syndicate,109.0,789,225.0,2456683
BBL Dark Passage,108.0,706,240.0,2889787
Corinthians Esports,108.0,668,296.0,2830228
RED Academy,107.0,751,289.0,2308666
DarkZero Dragonsteel,106.0,797,320.0,2836464
VARREL YOUTH,106.0,859,329.0,2907639
Flamengo MDL,106.0,650,240.0,2453688
Falke Esports,106.0,788,316.0,2637840
Myth Esports,106.0,774,261.0,2617760
LOUD,106.0,572,279.0,2788109
GiantX,106.0,643,282.0,2999730
CGN Esports,105.0,755,294.0,2477113
IziDream,105.0,796,297.0,2782266
Fuego,105.0,801,284.0,2660760
Joblife,105.0,587,211.0,2595826
Farenvehn,103.0,730,323.0,2612535
Gen.G Scholars,103.0,1268,475.0,3770105
Shopify Rebellion,102.0,566,244.0,2878702
Team BDS,101.0,620,247.0,2666819
Bushido Wildcats,101.0,685,273.0,2777259
Burning Core Toyama,101.0,1016,305.0,2886079
Dream in 24,101.0,968,307.0,2310372
Senshi eSports,100.0,708,253.0,2424950
Ramboot Club,100.0,706,258.0,2598929
CTBC Flying Oyster Academy,100.0,851,296.0,3006883
Los Grandes,100.0,585,244.0,2322557
Orbit Anonymo Esports,99.0,612,195.0,2701165
RED Canids,98.0,578,251.0,2264287
FlameHard,98.0,871,328.0,2347832
Ground Zero Gaming,97.0,989,235.0,3148040
A One Man Army,97.0,622,255.0,2571925
Winthrop University,96.0,617,243.0,2664761
Maze Gaming,96.0,644,244.0,2150247
Team Flash,95.0,684,262.0,2429871
Deltan Gaming,95.0,824,251.0,2042733
Kareha Children,95.0,694,224.0,2470477
100 Thieves,95.0,625,244.0,2494764
Dragons Esports,95.0,716,255.0,2355962
Vivo Keyd Stars,94.0,603,243.0,2474557
Bulldog Esports,94.0,830,257.0,2792287
Nongshim RedForce Academy,94.0,840,213.0,2871876
Beşiktaş Esports,93.0,619,241.0,2663817
LUA Gaming,92.0,655,269.0,2595894
GLORE,91.0,798,255.0,2785661
Zerolag Esports,91.0,588,174.0,2139405
CCG Esports,90.0,540,213.0,2228285
Team Heretics,90.0,467,198.0,2549303
Kawaii Kiwis,90.0,690,260.0,2281015
Colossal Gaming,89.0,638,252.0,1974366
Eternal Fire,88.0,630,226.0,2299295
Lille Esport,87.0,553,193.0,2034591
Isurus Estral,86.0,522,239.0,2286964
Stellae Gaming,85.0,608,294.0,2676816
Eintracht Spandau,84.0,750,249.0,2743806
Zena Esports,84.0,613,214.0,2199146
UCAM Esports,84.0,644,273.0,2609064
Actions Per Minute,83.0,667,222.0,2520332
Movistar KOI Fénix,83.0,656,265.0,2607322
Zeu5 Esports,83.0,607,243.0,2104719
GameWard,82.0,398,146.0,2205839
Once Upon A Team,82.0,541,210.0,2170026
BNK FEARX Academy,80.0,937,281.0,2767613
WLGaming Esports,80.0,678,226.0,2247907
Zerance,79.0,552,193.0,2294530
Blue Otter,79.0,499,164.0,2009158
Jörmungang,78.0,603,225.0,2201294
DMG Esports,78.0,572,193.0,2155544
Lundqvist Lightside,77.0,531,186.0,1945774
LNG Esports,77.0,498,196.0,2542871
HELL PIGS,77.0,883,200.0,2753778
BeFive,76.0,784,253.0,2546639
Team Vitality,76.0,528,214.0,2269145
Ruddy Esports,75.0,620,213.0,2206614
Divernex,75.0,660,224.0,2210797
DetonatioN FocusMe,75.0,477,153.0,2223020
Saigon Secret,75.0,599,209.0,2125423
Dung Dynasty,74.0,481,193.0,1701181
inf,73.0,541,201.0,1773578
Universae Instituto FP,73.0,469,189.0,1807875
LODIS,73.0,437,143.0,1958969
Dynamo Eclot,72.0,499,200.0,2119860
Rise Gaming,72.0,368,149.0,1862729
KaBuM! Ilha das Lendas,71.0,594,253.0,2293945
BraVeLY,70.0,649,180.0,2232448
BRUTE,70.0,515,150.0,2058694
WAP Esports,70.0,438,179.0,1886543
Rich Gang,70.0,459,198.0,1739298
DetonatioN FocusMe Academy,69.0,819,234.0,2346391
Monta Club,69.0,579,218.0,2200019
EKO Esports,68.0,551,173.0,2075392
Spirit Quartz Gaming,68.0,653,189.0,2007689
LYON,68.0,367,163.0,1737413
Rogue,68.0,334,139.0,1748763
Sicar Esports,68.0,384,185.0,1567958
Dignitas,67.0,381,151.0,2107076
G2 Hel,67.0,595,214.0,1955178
Team Paradox,67.0,599,221.0,2207925
Fukuoka SoftBank HAWKS gaming,66.0,547,193.0,2498175
Guinea Pink,66.0,546,207.0,1992904
ODD Esports,66.0,467,146.0,1801899
Aurora,65.0,532,165.0,2184981
GTZ Esports,65.0,416,153.0,1536362
Dynamo Eclot Talents,65.0,412,131.0,1592580
MY STAR,64.0,494,171.0,1983994
DOCISK,63.0,480,121.0,1524677
Dopamina E-Sport,62.0,579,210.0,1965985
Karmine Corp Blue Stars,62.0,514,176.0,2117035
Supernova,62.0,440,196.0,1896047
Odivelas Sports Club,61.0,489,170.0,1604401
Skillcamp,60.0,390,130.0,1907472
MGN Vikings Academy,59.0,435,135.0,1389605
RATZ,59.0,437,168.0,1817810
PÊEK Gaming,59.0,362,148.0,1479071
CITA Kaizen,58.0,484,156.0,1421253
Royal Never Give Up,57.0,373,139.0,1847921
For The Win Esports,57.0,514,160.0,1503627
EXILE esports,57.0,455,136.0,1925453
SK Gaming,55.0,292,123.0,1726533
KAOS e-sport,55.0,514,140.0,1810048
Kiedyś Miałem Fun,55.0,531,208.0,1639792
Venomcrest Esports,55.0,432,140.0,1716958
Never Give Up,54.0,407,131.0,1503604
Oh My God,54.0,372,133.0,1831221
VelbeliKaizokudan,54.0,544,162.0,2095691
Chiefs Esports Club,53.0,394,144.0,2188634
Pulse Star,51.0,376,127.0,1671906
GOAL,51.0,480,150.0,1447004
LYON Academy,50.0,418,157.0,1516130
Fluxo W7M,50.0,260,88.0,1483323
FN Esports,48.0,369,127.0,1132765
Disguised,48.0,245,107.0,1566033
Apex Mission Impossible,48.0,283,106.0,1489692
Team BDS Academy,48.0,399,135.0,1667696
Green Dolphin Gaming,48.0,312,123.0,1252913
V3 Esports,47.0,350,121.0,1340698
SN CyberCore Esports,46.0,415,116.0,1540108
ZETA,46.0,268,92.0,1340144
eQuizers,46.0,271,122.0,1092687
aNc Legends,45.0,329,110.0,1344595
Nigma Galaxy,45.0,518,94.0,1535082
SDM Tigres,45.0,409,146.0,1361096
Team Evermeet,44.0,330,109.0,1252806
Bamboo Juice,44.0,361,107.0,993315
Leviatan,42.0,378,137.0,1802568
Golden Lions,42.0,341,98.0,1081844
DRX Academy,42.0,593,105.0,2423825
Guasones,41.0,227,68.0,1332235
Underworld Esports,39.0,214,97.0,922033
Malvinas Gaming,39.0,333,110.0,1158954
Citadel Gaming,38.0,279,107.0,977837
Macko Esports,38.0,354,162.0,1139870
Dorado Gaming,37.0,306,110.0,988180
Hyper Vortex Esports,37.0,275,115.0,916069
Mila Gaming,36.0,319,85.0,906941
Lenovo Legion Honvéd,36.0,283,77.0,818867
Gaming Barcelona,34.0,233,64.0,995405
CORE 128,34.0,178,52.0,819285
Hands,33.0,253,66.0,1244788
Vortex (Japanese Team),33.0,316,87.0,975813
Icon Esports,33.0,205,65.0,754781
Seven Dark,32.0,258,85.0,1145246
Team Refuse,32.0,246,76.0,993373
Keypulse Esports,31.0,243,75.0,758989
Lechuga Gaming,31.0,267,93.0,744152
Jolly Rogers,31.0,190,65.0,650952
EDG Youth Team,30.0,211,59.0,622636
Dream Makers,30.0,219,90.0,939951
The Secret Club,30.0,265,65.0,881731
Lupus Esports,30.0,328,85.0,1243266
Night Cap,28.0,210,62.0,725801
Fractious eSports,27.0,147,57.0,679081
Contrata Logo Meu Time,27.0,238,86.0,810797
devils.one,27.0,206,63.0,853899
DCT eSports,25.0,182,66.0,635216
Mental Over Tempo,25.0,175,57.0,566496
SINS Esports,24.0,179,65.0,501567
We Can Win,24.0,208,75.0,622990
Andromeda Gaming,24.0,198,72.0,673208
Radical Pop Gaming,23.0,261,37.0,1022499
LGD Gaming Young Team,23.0,168,61.0,549267
Weibo Gaming Youth Team,23.0,161,58.0,622354
Magaza Esports,23.0,180,56.0,650113
Estral Esports,22.0,153,69.0,434791
Team WE Academy,22.0,168,55.0,490850
Silent Storm Esports,22.0,172,43.0,530442
Caldya Esport,21.0,147,67.0,537523
Partizan Esports,21.0,191,64.0,558193
Black Dog,21.0,174,45.0,548489
Hurricane of Feathers,21.0,188,51.0,728525
ZGDX Gaming,21.0,153,47.0,579152
Priority,21.0,165,49.0,651888
XV eSports,20.0,111,49.0,476723
Sponge Gaming,20.0,220,55.0,589829
e-Champ Gaming,19.0,141,47.0,540132
Nice Try,19.0,158,52.0,498471
3BL Esports,18.0,98,28.0,363222
FUSION (Latin American Team),18.0,186,68.0,552050
Hanoi Rookies Esports,17.0,217,63.0,661322
GenZ Gaming (2025 Vietnamese Team),17.0,132,47.0,417940
Kyo eSports,17.0,134,35.0,398686
Barcząca Esports,17.0,89,33.0,366418
Anyone's Legend.Young,17.0,197,56.0,593471
Oh My God Academy,16.0,138,48.0,381918
Mighty Eagles,16.0,165,50.0,509976
Fantastic Esports,16.0,111,38.0,340821
Crusaders,16.0,125,41.0,407628
PRINCIPALITY,16.0,131,37.0,548938
Alpha7 Esports,15.0,132,54.0,552628
evil genius (RTV Team),15.0,142,31.0,405419
Gwenchana,15.0,159,55.0,527447
LittleSans,15.0,120,43.0,342297
LNG Academy,15.0,216,69.0,551348
Top Esports Challenger,14.0,146,51.0,423225
White Dragons,14.0,136,44.0,373358
Isurus,14.0,89,40.0,419092
VeLocitY (Japanese Team),14.0,91,27.0,464745
TeamOrangeGaming Academy,14.0,140,39.0,385888
Apex Predator,14.0,117,44.0,316652
DKB XPERION NXT,14.0,131,38.0,372721
ZeroZone Gaming,13.0,127,37.0,615373
Dark Roses,13.0,80,22.0,305375
BERZLOY,12.0,94,28.0,249752
Vancouver Impact,12.0,75,25.0,457529
Bilibili Gaming Junior,12.0,118,33.0,414876
Hungkuang Falcon (弘光獵鷹),12.0,236,41.0,843174
Ligre Gaming,12.0,58,14.0,233661
The Forbidden Five,12.0,92,15.0,466129
Leões Porto Salvo Esports,12.0,101,32.0,389347
HUTECH CHICKEN,11.0,98,24.0,289131
Tigers eSports,11.0,83,15.0,325376
Team Mentality,11.0,90,24.0,278461
Connect Arena Esports,10.0,176,20.0,695021
Soul's Heart Esport,10.0,86,25.0,265736
ThunderTalk Gaming Young,10.0,107,28.0,361794
Temper &amp; Friends,10.0,62,26.0,181134
regnum4games,10.0,56,24.0,195874
Team Meliora,10.0,82,18.0,297243
Venus Gaming,10.0,143,43.0,366362
No Barry Berry,10.0,93,26.0,291262
htp eSport Akademie Hannover,9.0,76,20.0,208772
Human Apex Predator,9.0,73,17.0,201530
Ankora Gaming,9.0,88,21.0,281843
BloomStorm,9.0,82,17.0,445857
NGU eSports,8.0,85,26.0,191475
GenZ Gaming,8.0,114,23.0,400468
ΣΤΕΝΑΧΩΡΕΜΕΝΟΙ,8.0,51,15.0,223911
NORTHS FURY,8.0,56,15.0,213669
Xibalbá Esports,8.0,44,17.0,252834
HST,8.0,59,14.0,222557
Howl Esports,8.0,108,38.0,369158
Orzeł Barcząca Esports,8.0,75,18.0,273753
Inside Games,8.0,68,23.0,258276
Otter Side,7.0,50,20.0,120277
BWE Esports,7.0,48,26.0,187170
Diver (Portuguese Team),7.0,47,17.0,148587
REDPack Esports,6.0,53,13.0,217056
VfB eSports,6.0,55,18.0,178516
VININE,6.0,82,12.0,196229
Team High Ground,6.0,23,14.0,117142
Sportia Khore,6.0,27,5.0,113116
Rage Bait e-Sports,6.0,43,13.0,138132
Permitta eSports,6.0,69,19.0,263690
5M Esports,5.0,30,8.0,110639
Icon Esports (Mexican Team),5.0,41,16.0,171077
Footprint Gaming,5.0,37,9.0,137424
Grow uP eSports,5.0,79,21.0,199670
AKA HERO,5.0,64,23.0,194114
Void Requiem,4.0,58,9.0,151425
Geração Estrutura,4.0,48,11.0,192288
Papo Secos,3.0,25,8.0,105569
Metin2 Enjoyers,3.0,29,0.0,85097
A One Man Army Prime Academy,3.0,34,8.0,105380
Melilla Titans,2.0,20,5.0,103058
Cupid Esports,2.0,52,14.0,227969
Berimbados,2.0,19,1.0,74176
Black Lion,2.0,21,4.0,89184
eSports Cologne e.V.,2.0,27,6.0,104631
Paputs Gaming,2.0,62,6.0,220297
KrabbelGruppeAlpha,2.0,8,0.0,84715
Evolve eSports,2.0,21,3.0,101591
JY Gaming,2.0,35,4.0,110529
Team Blaze 1,1.0,10,0.0,73577
Str1ve eSports,1.0,10,3.0,81818
PaiDA Miwan Bao,1.0,10,2.0,48063
Team Revolta,1.0,26,4.0,54123
Natus Vincere,0.0,10,3.0,87088
All for One Gaming,0.0,27,4.0,88222
A One Man Army Prime,0.0,10,1.0,65655
Münster Esports - Golden Goats,0.0,27,0.0,76350
SK Gaming Avarosa,0.0,19,2.0,82253
Team Tockers,0.0,35,10.0,64917
Broke,0.0,24,5.0,86438
