teamname,split,teamkills,dragons_total,barons,heralds,towers,totalgold
100 Thieves,Split 1,136,18.0,5.0,4.0,56.0,394612
100 Thieves,Split 2,295,48.0,17.0,9.0,120.0,1223884
100 Thieves,Split 3,74,16.0,2.0,3.0,21.0,381020
3BL Esports,Summer,98,18.0,1.0,3.0,28.0,363222
5M Esports,Winter,30,5.0,1.0,1.0,8.0,110639
A One Man Army,Spring,377,53.0,9.0,15.0,156.0,1397522
A One Man Army,Summer,86,15.0,4.0,3.0,40.0,538724
A One Man Army,Winter,159,29.0,4.0,5.0,59.0,635679
AVE Axolotl,Spring,333,48.0,11.0,15.0,141.0,1275131
AVE Axolotl,Summer,257,32.0,4.0,9.0,73.0,900512
AVE Axolotl,Winter,274,34.0,9.0,6.0,102.0,906786
Actions Per Minute,Spring,365,47.0,8.0,10.0,119.0,1318348
Actions Per Minute,Summer,31,5.0,1.0,0.0,12.0,162511
Actions Per Minute,Winter,271,31.0,7.0,10.0,91.0,1039473
Alpha7 Esports,Split 2,132,15.0,6.0,6.0,54.0,552628
Andromeda Gaming,Summer,198,24.0,5.0,5.0,72.0,673208
Ankora Gaming,Winter,88,9.0,1.0,2.0,21.0,281843
Anubis Gaming,Spring,286,39.0,7.0,5.0,83.0,1125102
Anubis Gaming,Summer,282,42.0,10.0,10.0,114.0,1069015
Anubis Gaming,Winter,512,46.0,12.0,16.0,205.0,1784285
Anyone's Legend,Split 1,438,0.0,19.0,12.0,166.0,1582842
Anyone's Legend,Split 2,1062,0.0,39.0,32.0,411.0,3645324
Anyone's Legend,Split 2 Placements,141,0.0,6.0,4.0,51.0,394525
Anyone's Legend,Split 3,382,0.0,14.0,11.0,133.0,1457540
Apex Mission Impossible,Split 1,207,38.0,6.0,9.0,81.0,1112587
Apex Predator,Summer,117,14.0,4.0,2.0,44.0,316652
Aurora,Spring,256,31.0,5.0,6.0,80.0,986027
Aurora,Summer,91,14.0,0.0,1.0,32.0,545994
Aurora,Winter,49,4.0,1.0,1.0,12.0,206253
Austrian Force willhaben,Finals,73,15.0,4.0,4.0,30.0,288203
Austrian Force willhaben,Spring,383,52.0,16.0,7.0,142.0,1457565
Austrian Force willhaben,Summer,218,33.0,8.0,8.0,73.0,793118
Austrian Force willhaben,Winter,233,33.0,5.0,6.0,94.0,878487
BAAM Esports,Spring,238,35.0,10.0,5.0,80.0,946758
BAAM Esports,Summer,747,84.0,19.0,17.0,233.0,2305917
BAAM Esports,Winter,423,50.0,14.0,17.0,153.0,1359423
BBL Dark Passage,Spring,337,57.0,13.0,15.0,125.0,1358734
BBL Dark Passage,Summer,191,23.0,13.0,1.0,60.0,701549
BBL Dark Passage,Winter,178,28.0,4.0,5.0,55.0,829504
BERZLOY,Winter,94,12.0,4.0,0.0,28.0,249752
BK ROG Esports,Flash In,221,30.0,11.0,7.0,87.0,776107
BK ROG Esports,Spring,763,132.0,42.0,32.0,361.0,3217912
BK ROG Esports,Summer,234,39.0,9.0,7.0,104.0,1059513
BNK FEARX,Cup,145,19.0,4.0,6.0,56.0,678208
BNK FEARX,Rounds 1-2,612,103.0,19.0,20.0,240.0,2586743
BNK FEARX,Rounds 3-5,315,48.0,10.0,5.0,125.0,1161743
BNK FEARX Academy,Champ 1,937,80.0,22.0,29.0,281.0,2767613
BNK FEARX Youth,Kickoff,533,75.0,16.0,17.0,186.0,1887387
BNK FEARX Youth,Rounds 1-2,731,94.0,24.0,27.0,267.0,2581661
BNK FEARX Youth,Rounds 3-5,326,49.0,13.0,11.0,118.0,1307350
BRUTE,Spring,309,39.0,9.0,7.0,90.0,1064404
BRUTE,Summer,100,9.0,2.0,0.0,14.0,570502
BWE Esports,Winter,48,7.0,1.0,2.0,26.0,187170
Back2TheGame,Spring,372,61.0,13.0,11.0,126.0,1319187
Back2TheGame,Summer,168,21.0,5.0,8.0,73.0,622008
Back2TheGame,Winter,521,88.0,18.0,12.0,189.0,1745687
Bamboo Juice,Ignite,98,14.0,2.0,2.0,26.0,309013
Barcząca Esports,Summer,89,17.0,4.0,1.0,33.0,366418
Barça eSports,Spring,912,128.0,36.0,26.0,353.0,3141505
Barça eSports,Summer,163,24.0,6.0,4.0,65.0,754698
Barça eSports,Winter,575,86.0,14.0,19.0,219.0,2054461
BeFive,Spring,236,23.0,5.0,6.0,77.0,845760
BeFive,Summer,326,29.0,8.0,6.0,88.0,957291
BeFive,Winter,222,24.0,7.0,5.0,88.0,743588
Berimbados,Winter,19,2.0,0.0,0.0,1.0,74176
Berlin International Gaming,Finals,92,9.0,3.0,3.0,32.0,231065
Berlin International Gaming,Spring,716,91.0,17.0,28.0,262.0,2298357
Berlin International Gaming,Summer,264,35.0,9.0,9.0,109.0,751559
Berlin International Gaming,Winter,372,48.0,17.0,20.0,182.0,1295249
Beşiktaş Esports,Spring,220,32.0,7.0,9.0,87.0,1020976
Beşiktaş Esports,Summer,142,26.0,6.0,6.0,66.0,630268
Beşiktaş Esports,Winter,257,35.0,7.0,8.0,88.0,1012573
Bilibili Gaming,Split 1,381,0.0,15.0,6.0,161.0,1359448
Bilibili Gaming,Split 2,1135,0.0,38.0,40.0,452.0,3894394
Bilibili Gaming,Split 2 Placements,101,0.0,6.0,2.0,53.0,387431
Bilibili Gaming,Split 3,491,0.0,18.0,12.0,189.0,1640763
Black Dog,Forge,66,8.0,0.0,3.0,25.0,248744
Blue Otter,Split 1,351,55.0,12.0,12.0,122.0,1366656
Blue Otter,Split 2,148,24.0,4.0,4.0,42.0,642502
BoostGate Esports,Spring,780,115.0,24.0,22.0,272.0,2421356
BoostGate Esports,Summer,103,17.0,2.0,4.0,31.0,539394
BoostGate Esports,Winter,391,53.0,19.0,15.0,154.0,1282344
BraVeLY,Forge,78,8.0,2.0,3.0,24.0,265638
BraVeLY,Storm,105,16.0,1.0,4.0,21.0,479972
Bulldog Esports,Spring,200,31.0,2.0,7.0,71.0,762193
Bulldog Esports,Summer,180,14.0,5.0,6.0,44.0,591742
Bulldog Esports,Winter,450,49.0,13.0,11.0,142.0,1438352
Burning Core Toyama,Forge,177,19.0,5.0,4.0,61.0,508060
Burning Core Toyama,Ignite,250,27.0,4.0,9.0,74.0,674346
Burning Core Toyama,Storm,281,29.0,5.0,9.0,91.0,754805
Bushido Wildcats,Spring,269,37.0,9.0,9.0,92.0,1103215
Bushido Wildcats,Summer,191,28.0,8.0,5.0,84.0,643112
Bushido Wildcats,Winter,225,36.0,9.0,5.0,97.0,1030932
CCG Esports,Split 1,405,70.0,19.0,13.0,167.0,1707807
CCG Esports,Split 2,135,20.0,2.0,4.0,46.0,520478
CGN Esports,Spring,590,83.0,20.0,12.0,228.0,1842325
CGN Esports,Summer,97,13.0,5.0,1.0,40.0,381892
CITA Kaizen,Summer,339,42.0,13.0,7.0,115.0,929685
CORE 128,Split 2,142,30.0,3.0,4.0,46.0,658182
CTBC Flying Oyster,Split 1,421,69.0,13.0,11.0,208.0,1645354
CTBC Flying Oyster,Split 2,464,82.0,21.0,18.0,240.0,1782055
CTBC Flying Oyster,Split 3,162,32.0,6.0,7.0,74.0,619057
CTBC Flying Oyster Academy,Split 1,252,26.0,6.0,10.0,96.0,921053
CTBC Flying Oyster Academy,Split 2,545,62.0,10.0,20.0,172.0,1835253
CTBC Flying Oyster Academy,Split 3,54,12.0,2.0,2.0,28.0,250577
Caldya Esport,Summer,147,21.0,10.0,7.0,67.0,537523
Chiefs Esports Club,Split 1,124,18.0,5.0,6.0,47.0,767591
Chiefs Esports Club,Split 2,181,18.0,5.0,4.0,60.0,950928
Chiefs Esports Club,Split 3,89,17.0,3.0,3.0,37.0,470115
Citadel Gaming,Split 2,167,21.0,8.0,2.0,63.0,674235
Clocks,Forge,68,12.0,1.0,3.0,33.0,276114
Clocks,Ignite,86,14.0,2.0,4.0,33.0,334965
Clocks,Storm,96,16.0,3.0,3.0,37.0,474650
Cloud9,Split 1,84,18.0,4.0,2.0,43.0,362994
Cloud9,Split 2,534,83.0,27.0,18.0,226.0,2051017
Cloud9,Split 3,128,20.0,7.0,3.0,55.0,390939
Colossal Gaming,Spring,444,62.0,18.0,15.0,177.0,1513461
Colossal Gaming,Summer,194,27.0,3.0,6.0,75.0,460905
Connect Arena Esports,Spring,97,8.0,0.0,2.0,12.0,433395
Connect Arena Esports,Summer,79,2.0,0.0,3.0,8.0,261626
Conviction,Split 1,551,90.0,24.0,17.0,229.0,2204512
Conviction,Split 2,207,32.0,10.0,5.0,90.0,640942
Corinthians Esports,Split 1,327,74.0,15.0,12.0,154.0,1677671
Corinthians Esports,Split 2,129,18.0,6.0,5.0,69.0,574494
Crusaders,Summer,24,4.0,1.0,2.0,11.0,102741
Crusaders,Winter,101,12.0,3.0,5.0,30.0,304887
Crvena zvezda Esports,Spring,490,69.0,14.0,19.0,200.0,1551109
Crvena zvezda Esports,Summer,408,54.0,11.0,12.0,146.0,1160401
Crvena zvezda Esports,Winter,455,49.0,11.0,14.0,163.0,1321835
DCT eSports,Split 2,182,25.0,4.0,8.0,66.0,635216
DMG Esports,Spring,213,29.0,8.0,11.0,79.0,851419
DMG Esports,Summer,252,29.0,5.0,4.0,84.0,805781
DMG Esports,Winter,107,20.0,2.0,2.0,30.0,498344
DN Freecs,Cup,161,23.0,4.0,6.0,60.0,852021
DN Freecs,Rounds 1-2,423,65.0,15.0,22.0,154.0,2442083
DN Freecs,Rounds 3-5,244,39.0,6.0,9.0,94.0,1185965
DN Freecs Academy,Champ 1,1154,168.0,30.0,30.0,401.0,3804663
DN Freecs Challengers,Kickoff,344,35.0,10.0,10.0,133.0,1121192
DN Freecs Challengers,Rounds 1-2,687,98.0,22.0,26.0,297.0,2904724
DN Freecs Challengers,Rounds 3-5,284,38.0,8.0,10.0,111.0,1129256
DOCISK,Spring,274,38.0,5.0,6.0,69.0,876548
DOCISK,Summer,206,25.0,5.0,3.0,52.0,648129
DRX,Cup,263,34.0,10.0,10.0,101.0,1193746
DRX,Rounds 1-2,513,87.0,15.0,20.0,181.0,2457253
DRX,Rounds 3-5,331,51.0,20.0,15.0,126.0,1433718
DRX Academy,Champ 1,593,42.0,7.0,10.0,105.0,2423825
DRX Challengers,Kickoff,435,65.0,17.0,14.0,177.0,1678780
DRX Challengers,Rounds 1-2,708,100.0,28.0,24.0,313.0,2575793
DRX Challengers,Rounds 3-5,278,38.0,10.0,6.0,81.0,1200849
DarkZero Dragonsteel,Split 1,599,82.0,18.0,15.0,241.0,2175245
DarkZero Dragonsteel,Split 2,198,24.0,5.0,6.0,79.0,661219
Deep Cross Gaming,Split 1,501,62.0,12.0,16.0,194.0,1291689
Deep Cross Gaming,Split 2,1100,116.0,17.0,23.0,328.0,2674942
Deep Cross Gaming,Split 3,156,19.0,5.0,5.0,55.0,387054
Delta Syndicate,Spring,418,59.0,11.0,9.0,124.0,1179556
Delta Syndicate,Summer,337,45.0,9.0,12.0,97.0,1115297
Deltan Gaming,Ignite,115,13.0,4.0,0.0,27.0,337008
Deltan Gaming,Storm,147,17.0,5.0,1.0,47.0,506711
DetonatioN FocusMe,Split 1,219,27.0,6.0,5.0,65.0,919237
DetonatioN FocusMe,Split 2,155,30.0,3.0,6.0,52.0,863029
DetonatioN FocusMe,Split 3,103,18.0,2.0,3.0,36.0,440754
DetonatioN FocusMe Academy,Forge,98,7.0,2.0,5.0,37.0,348897
DetonatioN FocusMe Academy,Ignite,229,25.0,2.0,7.0,61.0,613091
DetonatioN FocusMe Academy,Storm,296,21.0,6.0,5.0,87.0,735845
Dignitas,Split 1,85,11.0,1.0,2.0,28.0,399552
Dignitas,Split 2,219,40.0,9.0,10.0,95.0,1301249
Dignitas,Split 3,77,16.0,2.0,4.0,28.0,406275
Disguised,Split 1,49,9.0,1.0,3.0,21.0,263579
Disguised,Split 2,112,22.0,4.0,5.0,47.0,820758
Disguised,Split 3,84,17.0,2.0,2.0,39.0,481696
Diver (Portuguese Team),Summer,47,7.0,3.0,0.0,17.0,148587
Divernex,Spring,294,30.0,7.0,6.0,88.0,977300
Diversion Gaming,Spring,615,75.0,23.0,14.0,209.0,1738816
Diversion Gaming,Summer,239,29.0,6.0,6.0,85.0,770132
Dopamina E-Sport,Split 1,263,36.0,13.0,13.0,104.0,1172569
Dorado Gaming,Split 2,189,23.0,5.0,6.0,58.0,641840
Dplus KIA,Cup,377,57.0,9.0,14.0,144.0,1450958
Dplus KIA,Rounds 1-2,740,120.0,27.0,30.0,291.0,3123359
Dplus KIA,Rounds 3-5,259,44.0,11.0,8.0,116.0,1089725
Dplus KIA Challengers,Kickoff,143,20.0,5.0,3.0,29.0,679918
Dplus KIA Challengers,Rounds 1-2,544,95.0,17.0,20.0,144.0,2532437
Dplus KIA Challengers,Rounds 3-5,309,47.0,11.0,8.0,101.0,1117713
Dplus KIA Youth,Champ 1,1147,144.0,25.0,28.0,358.0,3540250
Dragons Esports,Summer,716,95.0,25.0,20.0,255.0,2355962
Dream Makers,Split 2,219,30.0,8.0,7.0,90.0,939951
Dream in 24,Ignite,113,12.0,2.0,1.0,33.0,345290
Dream in 24,Storm,232,29.0,4.0,6.0,72.0,676254
Dung Dynasty,Spring,174,32.0,8.0,7.0,79.0,665748
Dung Dynasty,Winter,228,35.0,9.0,7.0,88.0,858576
Dynamo Eclot,Spring,305,44.0,13.0,17.0,125.0,1395245
Dynamo Eclot Talents,Spring,344,49.0,10.0,7.0,104.0,1272082
E WIE EINFACH E-SPORTS,Finals,59,13.0,2.0,1.0,22.0,308387
E WIE EINFACH E-SPORTS,Spring,384,50.0,14.0,14.0,146.0,1572602
E WIE EINFACH E-SPORTS,Summer,169,25.0,6.0,3.0,66.0,764945
E WIE EINFACH E-SPORTS,Winter,436,71.0,13.0,13.0,185.0,1757672
EDward Gaming,Split 1,122,0.0,6.0,5.0,56.0,596864
EDward Gaming,Split 2,239,0.0,6.0,12.0,104.0,1064186
EDward Gaming,Split 2 Placements,76,0.0,2.0,4.0,28.0,422787
EDward Gaming,Split 3,278,0.0,11.0,5.0,122.0,1008297
EKO Esports,Spring,290,32.0,10.0,7.0,105.0,965913
EKO Esports,Summer,156,15.0,5.0,1.0,40.0,629443
EKO Esports,Winter,105,21.0,3.0,4.0,28.0,480036
EXILE esports,Spring,188,22.0,5.0,8.0,57.0,820987
EXILE esports,Summer,230,27.0,6.0,8.0,67.0,878073
Eintracht Frankfurt,Spring,290,46.0,14.0,7.0,101.0,1241387
Eintracht Frankfurt,Summer,254,38.0,14.0,8.0,104.0,914406
Eintracht Frankfurt,Winter,202,31.0,11.0,4.0,88.0,902623
Eintracht Spandau,Spring,330,38.0,12.0,4.0,121.0,1286557
Eintracht Spandau,Summer,83,11.0,2.0,3.0,25.0,456529
Eintracht Spandau,Winter,185,21.0,7.0,7.0,63.0,633992
Entropiq,Spring,532,80.0,22.0,8.0,231.0,1929050
Entropiq,Summer,280,37.0,10.0,7.0,116.0,975518
Esprit Shōnen,Spring,409,55.0,16.0,14.0,181.0,1367235
Esprit Shōnen,Summer,117,18.0,3.0,5.0,44.0,438043
Esprit Shōnen,Winter,468,70.0,22.0,17.0,201.0,1542630
Estral Esports,Split 2,153,22.0,5.0,5.0,69.0,434791
Eternal Fire,Spring,161,24.0,4.0,3.0,53.0,821842
Eternal Fire,Winter,469,64.0,24.0,14.0,173.0,1477453
Ethereal Enigmas,Spring,515,63.0,13.0,17.0,157.0,1699325
Ethereal Enigmas,Summer,240,30.0,6.0,6.0,64.0,764205
Evolve eSports,Summer,21,2.0,0.0,0.0,3.0,101591
FN Esports,Summer,369,48.0,13.0,10.0,127.0,1132765
FURIA,Split 1,96,20.0,5.0,6.0,51.0,457799
FURIA,Split 2,522,75.0,21.0,17.0,228.0,2027268
FURIA,Split 3,107,16.0,6.0,6.0,53.0,469168
FUSION (Latin American Team),Split 2,186,18.0,6.0,5.0,68.0,552050
Falke Esports,Split 2,295,41.0,11.0,8.0,115.0,975070
Falke Esports,Split 3,272,36.0,10.0,10.0,108.0,844977
Fantastic Esports,Winter,111,16.0,3.0,3.0,38.0,340821
Farenvehn,Split 1,534,69.0,19.0,21.0,239.0,1920035
Farenvehn,Split 2,196,34.0,9.0,9.0,84.0,692500
FlameHard,Spring,507,53.0,10.0,13.0,178.0,1288575
FlameHard,Summer,30,6.0,1.0,2.0,17.0,122483
FlameHard,Winter,334,39.0,11.0,13.0,133.0,936774
Flamengo MDL,Split 1,277,47.0,10.0,6.0,105.0,1226507
Flamengo MDL,Split 2,172,30.0,5.0,5.0,56.0,587530
Fluxo W7M,Split 1,34,2.0,0.0,0.0,7.0,206454
Fluxo W7M,Split 2,168,32.0,5.0,3.0,53.0,910618
Fluxo W7M,Split 3,58,16.0,1.0,5.0,28.0,366251
FlyQuest,Split 1,123,16.0,7.0,5.0,58.0,503638
FlyQuest,Split 2,481,86.0,21.0,16.0,230.0,1846208
FlyQuest,Split 3,116,20.0,7.0,5.0,58.0,396099
Fnatic,Spring,509,75.0,21.0,17.0,224.0,1989515
Fnatic,Summer,98,19.0,5.0,6.0,56.0,421849
Fnatic,Winter,416,68.0,20.0,14.0,180.0,1577027
Fog Esports,Spring,638,82.0,18.0,19.0,220.0,2209392
Fog Esports,Winter,339,43.0,9.0,11.0,104.0,1134560
For The Win Esports,Spring,431,50.0,13.0,9.0,127.0,1220389
For The Win Esports,Winter,83,7.0,1.0,1.0,33.0,283238
Forsaken,Spring,454,59.0,13.0,13.0,165.0,1609025
Forsaken,Summer,220,29.0,6.0,9.0,88.0,656384
Forsaken,Winter,383,59.0,20.0,11.0,151.0,1452208
Fox Gaming,Spring,440,60.0,21.0,14.0,158.0,1634122
Fox Gaming,Summer,214,29.0,9.0,6.0,73.0,845139
Fox Gaming,Winter,220,28.0,6.0,5.0,82.0,853567
Fractious eSports,Split 2,147,27.0,7.0,5.0,57.0,679081
Frank Esports,Split 1,454,51.0,13.0,14.0,178.0,1577148
Frank Esports,Split 2,820,87.0,18.0,21.0,302.0,2382553
Frank Esports,Split 3,99,13.0,5.0,3.0,45.0,321261
Fuego,Split 1,659,87.0,27.0,19.0,229.0,2144614
Fuego,Split 2,142,18.0,6.0,5.0,55.0,516146
Fukuoka SoftBank HAWKS gaming,Split 1,239,27.0,8.0,11.0,68.0,934110
Fukuoka SoftBank HAWKS gaming,Split 2,187,24.0,7.0,10.0,81.0,1020500
Fukuoka SoftBank HAWKS gaming,Split 3,121,15.0,4.0,3.0,44.0,543565
FunPlus Phoenix,Split 1,97,0.0,2.0,6.0,41.0,553975
FunPlus Phoenix,Split 2,899,0.0,26.0,29.0,314.0,3528488
FunPlus Phoenix,Split 2 Placements,151,0.0,4.0,6.0,58.0,559736
FunPlus Phoenix,Split 3,214,0.0,4.0,11.0,66.0,1157639
G2 Esports,Spring,468,88.0,28.0,18.0,238.0,2148939
G2 Esports,Summer,37,5.0,2.0,2.0,20.0,119871
G2 Esports,Winter,296,50.0,11.0,10.0,142.0,1198350
G2 Hel,Split 2,158,12.0,4.0,4.0,53.0,428809
G2 Hel,Split 3,183,30.0,8.0,3.0,78.0,723372
GAM Esports,Split 1,294,54.0,10.0,11.0,134.0,1341264
